,area (km2),city,country,gdp,population,target
622,44.0,"Hat Siao Sub-District Municipality, Thailand",Thailand,73 Thousand,6886,Reduce 30% GHG emissions
623,21.0,"Hat Yai City Municipality, Thailand",Thailand,140 Thousand,159614,Reduce 15% GHG emissions
624,62.5,"Huai Khao Kam Municipality, Thailand",Thailand,50 Thousand,8857,Reduce 15% GHG emissions
625,195.49,"Kalangnakorn Town Municipality, Thailand",Thailand,87 Thousand,60129,Reduce 5% GHG emissions
626,3.2,"Khok Kruat Municipality, Thailand",Thailand,94 Thousand,7192,Reduce 15% GHG emissions
627,46.0,"Khon Kaen City Municipality, Thailand",Thailand,110 Thousand,113754,Reduce 30% GHG emissions
628,723.0,"Khun Han Municipality, Thailand",Thailand,N/A,7000,Reduce 5% GHG emissions
629,15.0,"Klaeng Town Municipality, Thailand",Thailand,N/A,17625,N/A
630,22.0,"Lampang City Municipality, Thailand",Thailand,2.7 Thousand,58074,Reduce 10% GHG emissions
631,16.0,"Mae Raeng Municipality, Thailand",Thailand,1 Thousand,7345,Reduce 5% GHG emissions
632,7.88,"Map Ammarit Municipality, Thailand",Thailand,36 Thousand,3959,Reduce 5% GHG emissions
633,111.0,"Na Kaeo Municipality, Thailand",Thailand,47 Thousand,9446,Reduce 10% GHG emissions
634,55.0,"Nang Lae Municipality, Thailand",Thailand,2.3 Thousand,10405,Reduce 10% GHG emissions
635,25.0,"Nong Samrong Town Municipality, Thailand",Thailand,500,39489,Reduce 5% GHG emissions
636,38.9,"Nonthaburi City Municipality, Thailand",Thailand,1.7 Thousand,270609,Reduce 5% GHG emissions
637,16.4,"Patong Municipality, Thailand",Thailand,150 Thousand,19726,Reduce 5% GHG emissions
638,2.76,"Phanat Nikhom Town Municipality, Thailand",Thailand,93 Thousand,12555,Reduce 5% GHG emissions
639,2.16,"Phanom Sarakham Municipality, Thailand",Thailand,110 Thousand,6851,Reduce 20% GHG emissions
640,12.0,"Phuket City Municipality, Thailand",Thailand,250 Thousand,72380,Reduce 10% GHG emissions
641,9.0,"Pong Municipality, Thailand",Thailand,110 Thousand,6068,Reduce 5% GHG emissions
642,4.8,"Prix Municipality, Thailand",Thailand,82 Thousand,6502,N/A
643,4.29,"Ranong Town Municipality, Thailand",Thailand,17 Thousand,17596,Reduce 10% GHG emissions
644,74.0,"Rong Kwang Municipality, Thailand",Thailand,N/A,12812,Reduce 10% GHG emissions
645,12.0,"Sikhio Town Municipality, Thailand",Thailand,2.8 Thousand,18644,Reduce 10% GHG emissions
646,37.0,"Sisaket Town Municipality, Thailand",Thailand,1.3 Thousand,39679,Reduce 10% GHG emissions
647,7.17,"Thung Song Town Municipality, Thailand",Thailand,94 Thousand,30605,Reduce 20% GHG emissions
648,29.04,"Ubonratchathani Municipality, Thailand",Thailand,180 Thousand,79944,Reduce 5% GHG emissions
649,19.0,"Umong Municipality, Thailand",Thailand,430,13558,Reduce 10% GHG emissions
650,9.0,"Yasothon Town Municipality, Thailand",Thailand,53 Thousand,20377,Reduce 20% GHG emissions
651,N/A,"City of Gaziantep, Turkey",Turkey,N/A,1465019,N/A
652,5343.0,"Istanbul Metropolitan Municipality, Turkey",Turkey,3.3 Billion,14657434,N/A
653,12019.0,"Izmir Metropolitan Municipality, Turkey",Turkey,130 Billion,4113072,Reduce 20% GHG emissions
654,25.0,"Kadiköy Municipality, Turkey",Turkey,N/A,521005,Reduce 15% GHG emissions
655,535.0,"Nevsehir Municipality, Turkey",Turkey,N/A,92068,N/A
656,167.0,"Yalova Municipality, Turkey",Turkey,N/A,102874,N/A
657,192.0,"Kampala Capital City Authority, Uganda",Uganda,17 Billion,1517000,Reduce 22% GHG emissions
658,110.0,"Bristol City Council, United Kingdom",United Kingdom,13 Billion,442500,N/A
659,1276.0,"Greater Manchester Combined Authority, United Kingdom",United Kingdom,88 Billion,2732854,N/A
660,3427.0,"Broward County, FL, United States",United States,N/A,1838844,Reduce 7% GHG emissions
661,600.6,"City and County of San Francisco, CA, United States",United States,410 Trillion,852469,Reduce 80% GHG emissions
662,14.16,"City of Albany, CA, United States",United States,N/A,18969,N/A
663,43.0,"City of Alton, IL, United States",United States,1,26581,N/A
664,74.33,"City of Ann Arbor, MI, United States",United States,19 Billion,116121,Reduce 90% GHG emissions
665,75.32,"City of Antioch, CA, United States",United States,N/A,108930,Reduce 80% GHG emissions
666,117.2,"City of Asheville, NC, United States",United States,14 Billion,83393,Reduce 80% GHG emissions
667,347.1,"City of Atlanta, GA, United States",United States,7.6 Billion,447841,Reduce 80% GHG emissions
668,704.0,"City of Austin, TX, United States",United States,100 Billion,912791,Reduce 100% GHG emissions
669,239.0,"City of Baltimore, MD, United States",United States,150 Million,622793,Reduce 15% GHG emissions
670,48.51,"City of Beaverton, OR, United States",United States,N/A,93542,Reduce 75% GHG emissions
671,40.71,"City of Benicia, CA, United States",United States,N/A,27618,Reduce 10% GHG emissions
672,45.83,"City of Berkeley, CA, United States",United States,N/A,118853,Reduce 80% GHG emissions
673,232.14,"City of Boston, MA, United States",United States,310 Billion,655884,Reduce 25% GHG emissions
674,66.5,"City of Boulder, CO, United States",United States,N/A,105112,Reduce 80% GHG emissions
675,40.1,"City of Burlington, VT, United States",United States,N/A,42211,Reduce 80% GHG emissions
676,69.75,"City of Burnsville, MN, United States",United States,N/A,61434,N/A
677,410.0,"City of Carson, NV, United States",United States,3 Billion,62580,N/A
678,330.2,"City of Charleston, SC, United States",United States,N/A,130113,Reduce 83% GHG emissions
679,26.6,"City of Charlottesville, VA, United States",United States,N/A,46912,Reduce 10% GHG emissions
680,606.0,"City of Chicago, IL, United States",United States,530 Billion,2722389,Reduce 80% GHG emissions
681,134.93,"City of Chula Vista, CA, United States",United States,N/A,260988,Reduce 20% GHG emissions
682,206.01,"City of Cincinnati, OH, United States",United States,100 Billion,297517,Reduce 84% GHG emissions
683,213.6,"City of Cleveland, OH, United States",United States,100 Billion,389521,Reduce 45% GHG emissions
684,31.1,"City of Coconut Creek, FL, United States",United States,N/A,52909,Reduce 20% GHG emissions
685,349400.0,"City of Columbia, SC, United States",United States,38 Billion,133803,N/A
686,577.85,"City of Columbus, OH, United States",United States,43 Billion,835957,N/A
687,213.93,"City of Des Moines, IA, United States",United States,N/A,209220,N/A
688,226.44,"City of Duluth, MN, United States",United States,3.2 Million,86238,N/A
689,9.55,"City of El Cerrito, CA, United States",United States,43 Million,23549,Reduce 30% GHG emissions
690,5.0,"City of Emeryville, CA, United States",United States,3.9 Billion,11721,Reduce 40% GHG emissions
691,20.2,"City of Evanston, IL, United States",United States,1 Million,75430,N/A
692,165.4,"City of Flagstaff, AZ, United States",United States,4.7 Billion,68785,N/A
693,88.21,"City of Flint, MI, United States",United States,N/A,99002,N/A
694,148.0,"City of Fort Collins, CO, United States",United States,14 Billion,161000,Reduce 100% GHG emissions
695,51.39,"City of Foster City, CA, United States",United States,N/A,30567,N/A
696,226.91,"City of Fremont, CA, United States",United States,N/A,220000,Reduce 25% GHG emissions
697,117.25,"City of Grand Rapids, MI, United States",United States,N/A,193792,N/A
698,15.78,"City of Hawthorne, CA, United States",United States,N/A,86199,Reduce 15% GHG emissions
699,165.11,"City of Hayward, CA, United States",United States,240 Million,149392,Reduce 82% GHG emissions
700,62.8,"City of Hillsboro, OR, United States",United States,120 Thousand,99393,N/A
701,1625.2,"City of Houston, TX, United States",United States,390 Billion,2239558,Reduce 5% GHG emissions
702,89.23,"City of Janesville, WI, United States",United States,4.9 Billion,63588,N/A
703,97.3,"City of Keene, NH, United States",United States,N/A,23409,Reduce 10% GHG emissions
704,70.01,"City of Kenosha, WI, United States",United States,N/A,101230,N/A
705,269.8,"City of Knoxville, TN, United States",United States,N/A,183270,Reduce 20% GHG emissions
706,198.5,"City of Las Cruces, NM, United States",United States,4 Million,101408,Reduce 7% GHG emissions
707,352.0,"City of Las Vegas, NV, United States",United States,96 Billion,596424,Reduce 30% GHG emissions
708,22.8,"City of Los Altos, CA, United States",United States,N/A,7922,Reduce 30% GHG emissions
709,1302.0,"City of Los Angeles, CA, United States",United States,N/A,3928864,N/A
710,10.21,"City of Manhattan Beach, CA, United States",United States,N/A,35726,Reduce 7% GHG emissions
711,34.02,"City of Martinez, CA, United States",United States,2.1 Billion,37165,Reduce 15% GHG emissions
712,N/A,"City of Miami Beach, FL, United States",United States,N/A,87779,N/A
713,143.1,"City of Miami, FL, United States",United States,N/A,417650,Reduce 25% GHG emissions
714,151.0,"City of Minneapolis, MN, United States",United States,240 Billion,407207,Reduce 80% GHG emissions
715,1214.0,"City of New York, NY, United States",United States,1.4 Thousand,8491079,N/A
716,121.6,"City of North Little Rock, AR, United States",United States,2.7 Billion,66075,Reduce 10% GHG emissions
717,144.0,"City of Oakland, CA, United States",United States,24 Billion,419267,Reduce 36% GHG emissions
718,50.0,"City of Olympia, WA, United States",United States,5 Billion,51020,Reduce 80% GHG emissions
719,N/A,"City of Park City Municipal Corporation, UT, United States",United States,N/A,7558,N/A
720,367.0,"City of Philadelphia, PA, United States",United States,360 Billion,1560297,Reduce 20% GHG emissions
721,49.61,"City of Pittsburg, CA, United States",United States,N/A,63264,N/A
722,376.0,"City of Portland, OR, United States",United States,N/A,619360,Reduce 80% GHG emissions
723,66.0,"City of Providence, RI, United States",United States,N/A,177994,N/A
724,162.0,"City of Richmond, VA, United States",United States,61 Million,217853,N/A
725,111.8,"City of Rock Hill, SC, United States",United States,N/A,69967,N/A
726,145.0,"City of Saint Paul, MN, United States",United States,21 Billion,304000,Reduce 100% GHG emissions
727,N/A,"City of San Antonio, TX, United States",United States,93 Billion,1469845,N/A
728,58.07,"City of San Rafael, CA, United States",United States,N/A,58994,Reduce 25% GHG emissions
729,96.961,"City of Santa Barbara, CA, United States",United States,5.2 Billion,93190,N/A
730,N/A,"City of Santa Cruz, CA, United States",United States,7.6 Billion,63789,Reduce 30% GHG emissions
731,96.0,"City of Santa Fe, NM, United States",United States,3.6 Billion,83500,N/A
732,21.0,"City of Santa Monica, CA, United States",United States,6.7 Billion,92472,N/A
733,369.2,"City of Seattle, WA, United States",United States,N/A,662400,Reduce 100% GHG emissions
734,68.06,"City of Southfield, MI, United States",United States,N/A,72507,N/A
735,58.77,"City of Sunnyvale, CA, United States",United States,N/A,147559,Reduce 15% GHG emissions
736,129.71,"City of Tacoma, WA, United States",United States,15 Billion,202308,Reduce 80% GHG emissions
737,611.8,"City of Tucson, AZ, United States",United States,N/A,527972,Reduce 7% GHG emissions
738,15.28,"City of University City, MO, United States",United States,1.3 Billion,35228,Reduce 10% GHG emissions
739,30.0,"City of Urbana, IL, United States",United States,2 Million,41250,Reduce 100% GHG emissions
740,64.93,"City of Waukesha, WI, United States",United States,N/A,70920,N/A
741,150.478,"City of West Palm Beach, FL, United States",United States,4.9 Billion,102436,Reduce 37% GHG emissions
742,739.4,"County of Lexington-Fayette, KY, United States",United States,23 Billion,310797,Reduce 20% GHG emissions
743,1187.0,"Cuyahoga County, OH, United States",United States,94 Billion,1248514,N/A
744,1362.2,"Metropolitan Government of Nashville and Davidson County, TN, United States",United States,N/A,659042,N/A
745,6296.727,"Miami-Dade County, FL, United States",United States,150 Million,2674279,Reduce 80% GHG emissions
746,1570.0,"Santa Cruz County, CA, United States",United States,4.6 Billion,271804,Reduce 64% GHG emissions
747,27.6,"Town of Dedham, MA, United States",United States,N/A,24729,N/A
748,7.84,"Town of Morristown, NJ, United States",United States,N/A,19085,N/A
749,N/A,"Town of Wellfleet, MA, United States",United States,N/A,3500,N/A
750,N/A,"Town of York, ME, United States",United States,N/A,13737,N/A
751,292.84,"Township of Hamilton, NJ, United States",United States,N/A,26647,Reduce 20% GHG emissions
752,12.0,"Village of Oak Park, IL, United States",United States,N/A,51878,N/A
753,19.6,"Village of Pinecrest, FL, United States",United States,N/A,18223,N/A
754,155.0,"Municipality of San Carlos, Uruguay",Uruguay,N/A,27471,N/A
755,12.0,"Chacao Municipality, Venezuela",Venezuela,8.5 Billion,64629,N/A
756,777.0,"Metropolitan District of Caracas, Venezuela",Venezuela,N/A,3273863,N/A
757,128488.0,"Da Nang Municipal People's Government, Vietnam",Vietnam,54 Trillion,1046252,Reduce 25% GHG emissions
758,72.56,"Dong Ha City, Vietnam",Vietnam,5.4 Trillion,90491,Reduce 15% GHG emissions
