,action,city,country,description,start year,status,type
881,Barrio Mío Program - Lima Province,"Lima Province, Peru",Peru,"This program is an urban improvement and
social development project-identifier in Lima’s
working class neighborhoods that emerges
from a focus on integrated and participatory
land development. Its main goals are to improve
resident quality-of-life and to build a culture of
citizenship, helping to benefit approximately
three million residents in the capital’s neediest
neighborhoods, in coordination with local governments
and the general population.
Participating Organizations: Local governments,
neighborhood and social organizations, NGOs,
volunteer networks, etc.",2012,In operation,Policy/Strategies/Action Plans
882,Mi Huerta Program - Lima Province,"Lima Province, Peru",Peru,"This program takes up the practice of urban agriculture in
abandoned urban and suburban spaces to generate wholesome
foodstuffs for at-home consumption and commercialization.
It emerges as a strategy that helps promote and
develop alternatives that aid in improving family nutrition
and more diverse citywide dietary paradigms. 2014 goals:
sixteen associated districts, 2014 urban orchards.
Participating Organizations: district local governments, the
Ministry of Education, local school districts, NGOs, foundations,
academic institutions, research centers, urban farming
organization, producers and grassroots organizations.",2011,In operation,Policy/Strategies/Action Plans
883,Lima Verde Program - Lima Province,"Lima Province, Peru",Peru,"Timeframe: Parque para Todos (January 2011-December
2014), Adopta un Árbol
(June 2012-December 2014), Lomas de Lima (September
2012-December 2014)
Investment: US$ 147,010,844
This program seeks to expand the city’s greensapces via
1. “Parques para Todos.” Goal: six new regional parks plus
14-park upgrade
2. “Adopta un Árbol.” Forestation with citizen participation;
goal: 300,000 trees
3. “Lomas de Lima” seeks to conserve and fully utilize hills
through the creation of a regional hills conservation
system, the establishment of two hillside parks, promotion
of three eco-tourism routes in the Villa María del
Triunfo, San Juan de Lurigancho and Pachacamac hills,
and promotion of the “Lima Verde” annual contest.
Participating Organizations: area local governments, grassroots
social organizations (neighborhood, community, cultural
and sporting organizations, soup kitchens, mothers’
clubs, youth clubs and environmental organizations; academic
institutions and research centers, educational institutions,
youth groups, universities, private enterprise, tourist
operators and associations, volunteer networks, NGOs and
the public at large.",2011,In operation,Policy/Strategies/Action Plans
884,ENVIRONMENTAL SUPERVISION  - Municipality of Magdelena Del Mar,"Municipality of Magdelena Del Mar, Peru",Peru,"In conformity with the environmental assessment and Control Plan (PLANEFA), the municipality of Magdalena del Mar performs environmental oversight actions to those administered that are all entities that carry out commercial activities or services within Of the Magdalena del Mar district jurisdiction, being these supervisions programmed and executed by the technical personnel of the environmental control areas.",,In operation,Strategy / Policy
885,INSTITUCIONALITY - Municipality of Magdelena Del Mar,"Municipality of Magdelena Del Mar, Peru",Peru,"In compliance with the Local environmental policy of the Magdalena del Mar District, the action of ""institutionality"" aims to consolidate the exercise of environmental authority to contribute to the sustainable development of the District, for this purpose workshops are held that They are provided to officials by the staff in charge of the sustainable development management. Through these workshops it is possible to involve in a complete way the municipality in environmental issues, to be able to work with better coordination and focused on the same objective. It is also intended to strengthen the environmental management system and its coordination and conciliation bodies through the meetings with the Municipal Environmental Commission of Magdale del Mar Distric (MEC-MMDM) which is formed by the representatives of the various social actors of the District, having their meetings every two months. The CAM is responsible for monitoring the indicators and targets of Local environmental policy within the stipulated deadlines, and in turn, each year will have to make an annual report on progress, difficulties and achievements.",,In operation,Strategy / Policy
886,SOCIAL INCLUSION IN ENVIRONMENTAL MANAGEMENT - Municipality of Magdelena Del Mar,"Municipality of Magdelena Del Mar, Peru",Peru,"In compliance with the Local environmental policy of the Magdalena del Mar District, the action of ""Social inclusion in Environmental management"" aims to promote the active and multicultural participation of the Magdalena District's inhabitants in environmental management, and In particular, the direct intervention of minority or vulnerable groups, without discrimination. For this reason the municipality of Magdalena del Mar carries out constant campaigns, competitions, workshops, among other activities that involve the population in environmental issues, generating awareness towards the protection of the environment and in this way ensure sustainable development. Among some of these activities we have the installation of the solar panel module for cell phone recharge on Jose Gálvez Boulevard, now known as Ecological Boulevard; We also encourage the participation of neighbors in tree planting campaigns in the district, them with the care of green areas; Finally we have the development of competitions and exhibitions of crafts elaborated with recyclable material, in which the educational centers participate.",,In operation,Strategy / Policy
887,ECOSYSTEM COASTAL MARINE ZONE - Municipality of Magdelena Del Mar,"Municipality of Magdelena Del Mar, Peru",Peru,"The action ""Coastal marine ecosystem"" includes activities such as ""beach cleanup"" within the district's jurisdiction. This activity is carried out as part of the launching of the campaign ""International cleaning costal cleanup 2017"" and is directed by the municipality of Magdalena del Mar, in collaboration with NGO's, neighbors, churches and volunteers. To reach a greater extent, the municipality disseminates the dates established by social networks and other means, so that the population can also be sensitized to the conservation of coastal marine ecosystems and to the correct management of waste. Solids to ensure clean beaches where healthy and clean recreation can develop. This activity has had good results in each working day, having great participation of volunteers and fulfilling the established objectives.",,In operation,Strategy / Policy
888,CULTURE AND ENVIRONMENTAL COMMUNICATION - Municipality of Magdelena Del Mar,"Municipality of Magdelena Del Mar, Peru",Peru,"The action ""culture and Environmental Communication"", aims to promote sustainable development and citizen participation through communication, this is indispensable for the consolidation of an environmental culture within the district. A number of environmental management strategies have been implemented in the district, one of them being awareness workshops in water and air care with the participation of neighbors and educational institutions, committed to the care of the environment Environment. Also to promote the participation of the different educational institutions through actions like adopting a tree and through this know the importance of the care of the green areas.",,In operation,Education / Training
889,MITIGATION AND ADAPTATION TO CLIMATE CHANGE - Municipality of Magdelena Del Mar,"Municipality of Magdelena Del Mar, Peru",Peru,"In compliance with the Magdalena Del Mar District's local Environmental policy, the action of ""mitigation and adaptation to climate change"" aims to promote the mitigation of the effects of climate change through environmental projects.  A series of practices have been implemented in favor of environmental protection one of them is the ""Adopt a Tree"" program involving the participation of the population in order to preserve the ecology and reinforce our commitment to contribute and care for the environment Environment, over the last few years the planting of more than 20000 trees has been made, making the district one of the districts that has planted the most trees in Peru. Also promote the use of renewable energies and appropriate for adaptation to climate change and mitigation of greenhouse gases and atmospheric pollution, currently in mind with two generators of recharging mobile devices with panel Solar located on the Boulevard José Gálvez, in order to make known the works developed in the district the municipality of Magdalena del Mar installed a stand in order that the public can appreciate a model of the station of recharging mobile devices with energy Solar. The District Carbon Footprint Project is a tool to reduce the level of CO2 emissions generated by the different activities within the district and that through mitigation actions we seek to obtain carbon footprint certification at the district level, as That to date Magdalena del Mar is Peru's first local government to obtain in 2012 international certification as a carbon neutral footprint and, in the 2015, the water footprint. The actions that the municipality is doing will achieve environmental sustainability.",,In operation,Strategy / Policy
890,PLAN OF IMPLEMENTATION OF LEGAL INSTRUMENTS. - Municipality of Magdelena Del Mar,"Municipality of Magdelena Del Mar, Peru",Peru,"In accordance with the environmental Assessment and Control Plan (PLANEFA), the municipality of Magdalena del Mar has the plan of implementation of legal instruments, which contains the programming table for the approval of legal norms. This Plan suggests important instruments in order to be able to perform a correct audit within the District's jurisdiction, the municipality of Magdalena del Mar has 5 approved instruments, such as: ""Regulation of environmental oversight"", ""rules of application of administrative sanctions"", ""table of infringement of sanctions that contemplate environmental classifications"", ""norm that regulates the formalisation of the segregators of solid waste"" and the ""Regulation regulating municipal solid waste management and management""; They also have 2 instruments that are in the process of being approved, such as: ""Environmental complaints Procedure"" and ""regulation regulating the management of solid waste from construction and demolition""",,In operation,Strategy / Policy
891,GROUND - Municipality of Magdelena Del Mar,"Municipality of Magdelena Del Mar, Peru",Peru,"The action ""ground"" includes several activities of great importance as the ""increase of square meters of green areas per inhabitant"", by means of which it seeks to fight and to prevent the processes of desertification, degradation and loss of soils in the district of Magdalena del Mar. This activity is directed by the submanagement of environment and green areas belonging to the District's sustainable development management. Good results have been obtained from this activity, mainly a progressive increase of species of flora with the capacity to adapt to the type of coastal climate of the region; Thus improving the scenic beauty of the district and generating a clean and healthy environment for the development and growth of the population. This action also includes other activities such as the District Plan for Environmental Solid Waste Management (DPESWM), the program ""Let’s recycle Magdalena"" and the realization of awareness on solid waste management, which will be detailed in other Paragraphs.",,In operation,Strategy / Policy
892,SOURCE SEGREGATION AND SELECTIVE COLLECTION OF SOLID WASTE. - Municipality of Magdelena Del Mar,"Municipality of Magdelena Del Mar, Peru",Peru,"As part of the environmental policy on solid waste minimization, the municipality of Magdalena del Mar has been continuously implementing the program of segregation at the source and selective collection of solid waste within its jurisdiction, seeking to improve the quality of life of its community based on the promotion of a culture of environmental commitment. For a good management of reusable RR.SS has been developing various activities with the participation of the population and other actors, one of them is the participation of housing in the program ""Let's recycle"" through awareness campaigns to through the creation of spaces for dialogues carried out by environmental promoters who provided information on the development and objective of the program and the importance of the participation of neighbors in the care of the environment, allowing them to be informed about the environmental consequences that can be generated, as well as socio-environmental opportunities and benefits. In order to promote a recycling culture, the municipality of Magdalena del Mar has implemented the second interschool competition 2017 ""Magdalena dresses in green"", developing environmental education activities in public and private educational establishments.",,In operation,Strategy / Policy
893,ENVIRONMENTAL ASSESSMENT PLAN (NOISE MONITORING)  - Municipality of Magdelena Del Mar,"Municipality of Magdelena Del Mar, Peru",Peru,"In accordance with the environmental Assessment and Control Plan (PLANEFA), the municipality of Magdalena del Mar carries out the environmental monitoring and surveillance actions within its jurisdiction as indicated in the environmental assessment plan. For these monitoring there is a sound that has certification of calibration by the National Institute of Quality (INACAL).",,In operation,Strategy / Policy
894,Project for infrastructure improvement of the Plaza de Armas de Iñapari - Municipality of Tahuamanu,"Municipality of Tahuamanu, Peru",Peru,This project is viable and seeks to remodel the Plaza de Armas and install solar panels as energy source for the lightning. In addition it contemplates actions of afforestation and landscape beautification.,,Planning phase,Technical / Infrastructural
895,Rainwater Harvesting System at Public Schools and Government Buildings  - City Government of Marikina,"City Government of Marikina, Philippines",Philippines,"The rainwater harvesting system will be able to mitigate flooding by collecting and storing rainwater from roofs of pulblic schools and government buildings instead of letting it go to waste through runoff. This will also serve as alternative and back-up source of water supply in public schools in case of water interruption during disaster events, where schools are used as evacuation cetners. This will also aid to reduce water scarcity during severe droughts during dry season. The use of rainwater for cleanups, watering plants, and flushing toilets instead of using potable water supplied by water concessionaire will enable conservation of water from Angat and La Mesa dams, where water supple for Metro Manila is sourced from.",,In operation,Technical / Infrastructural
896,MPA Expansion and provision of alternative livelihood - City of Batangas,"City of Batangas, Philippines",Philippines,"The expansion is part of the signed Conservation Agreement between the Batangas City Government, Barangay San Agapito-Isla Verde and Malampaya Foundation. It aims to protect the coastal resources within the Barangay wherein dive spots are located. Expanding the marine protected area of the barangay also intends to rehabilitate the damaged reefs caused by typhoons and illegal fishing. The provision of livelihood is seen to aid the community to have an alternative source of income aside from fishing which in turn could contribute in the sustainable management of their resources. Barangay San Agapito is the chosen pilot barangay to start with.",,In operation,Strategy / Policy
897,Eco-Police Program - City of Batangas,"City of Batangas, Philippines",Philippines,"Even before the enactment of the Environment Code of Batangas City in 2010, the City Government has been implementing the provisions of RA 9003. However, due to increasing waste concerns such as illegal dumping, improper waste management and collection issues, the City Government created the Eco-Police Program in 2016 which aims to further strengthen the enforcement aspect of the Code. These officers were deputized by the City Mayor as stated in the Code and were authorized to issue citation tickets for violation of any of the environmental policies.",,In operation,Strategy / Policy
898,Mister and Miss Manaragat & Queen Manaragat/Manaragat Pageant - City of Catbalogan,"City of Catbalogan, Philippines",Philippines,"The City of Catbalogan traces its roots to a small community formed near the Antiao River, greatly influencing the Catbaloganon culture, particularly their form of livelihood. It is because of this history that the Catbaloganons have decided to adopt “manaragat” as their identity, their brand. They have also made manaragat – which means “people of the sea” in English – the central theme of the city’s annual fiesta celebration, especially its main highlight the Manaragat Beauty Pageant. It was only in 2007 when the annual beauty pageant was officially called as Miss Manaragat: The Search for Miss Catbalogan City. In 2014, the beauty pageant gave way to another facet and this time for the male ambassador dubbed as Mister Manaragat: The Search for Mister Catbalogan City. On that same year as well was the birth of Queen Manaragat: The Search for Miss Maqueda Gay, a province-wide beauty pageant that advocates for the protection and preservation of the precious Maqueda Bay alongside gender equality promoting gay pride among the society. During the pageant nights itself, various competitions highlight the unique advocacy of the pageant. Specifically, the Eco-Filipiniana Terno and the Eco-Barong Competitions were included into the pageant to bring attention to the advocacy. It is a competition about filipiniana gowns and formal wears made of various scrap materials and one of the criteria for choosing the winner is creativity and resourcefulness in incorporating them into the gown. Since the competition was included in 2010, it has successfully merged advocacy and entertainment. The resulting creations show the audience that old, used up and ready-to-throw items may still be transformed into something of higher value if viewed from a fresh perspective. Aside from being one of the highlights of the city’s month-long fiesta celebration for its entertainment value, it was also realized that the pageant could be used as an effective tool for raising public awareness about serious issues facing the locality. Among these issues is the serious environmental degradation that is slowly taking its toll on the very seas that have provided Catbaloganons with their livelihood and cultural identity.",,In operation,Awareness-raising / Promotion
899,"Tribu Katbalaugan: Festival Contingent for Environmental
Protection and Cultural Preservation
 - City of Catbalogan","City of Catbalogan, Philippines",Philippines,"The MANARAGAT FESTIVAL is a tribute to the fishermen of Catbalogan celebrated every whole month of August. It is a festive dance characterized by varied movements and intricate steps of the different fishes and shells inhabiting Maqueda Bay and beautifully presented by the dancers in fantastic and colorful costumes. Mainly religious and cultural, the celebration of the month-long Manaragat Festival is aimed at celebrating the unique culture and tradition of Catbaloganons, to pay homage to the Creator through the intercession of Patron Saint, Señor San Bartolome, and as a call for the protection of the environment. While Manaragat Festival is Catbalogan City’s official festival, Tribu Katbalaugan is its official festival contigent. “Tribu”, which means “group” or “clan”, “Katbalaugan"" was taken from the original name of Catbalogan City originating from the name “balaug”, a shrub that thrived along Catbalogan's seashore and sandy banks of the Antiao River, which later described the whole community renaming to “Katbalaugan” or “Kabalaugan”, a place where seafarers, fishermen or sailors take shelter or protection. Despite being a first timer in the 2015 Sinulog, Tribu Katbalaugan placed 3rd RUNNER-UP in the Free Interpretation (FI) Category while in 2016 and 2017; it placed 1st RUNNER-UP and bagged the CHAMPIONSHIP title in the Street Dancing competition in 2017. Sinulog Festival is the annual cultural and religious festival of Cebu City that pays homage to the little child Jesus or the Señor Santo Niño. Considered as the grandest and most distinguished festival in the Philippines, Sinulog gathers millions of tourists and pilgrims to Cebu and generates millions of income while offering international mileage to participating contingents. Despite the hardships and trauma that the group undergone with the disasters that happened during the preparation for the said event losing four (4) members due to a landslide in 2014, it further inspired and motivated the group to continue what they have started, which is a manifestation of their resiliency amidst all odds.",,In operation,Awareness-raising / Promotion
900,Climate Eco-Gardens - City of Legazpi,"City of Legazpi, Philippines",Philippines,"This project is a component of the Climate-Responsive Food Production System Program managed by the City Agriculture Services and supported as well by the City DRRM Division of the City Mayor's Office and the Office of Strategy Management.  It aims to establish climate-eco gardens, provide alternative sources of livelihood for women, and also serve as eco-tourism destinations.  The gardens will feature climate-adaptive vegetables and crops that are suitable to the location or site (upland or lowland), as well as organic methods and processes.  The project will be piloted in 3 barangays located in North (at the foot of the Mayon Volcano), Urban and Rural South (Homapon Eco Park).",,Planning phase,Public Participation/Stakeholder engagement
901,Coastal Resource Management Program - City of Legazpi,"City of Legazpi, Philippines",Philippines,"The Coastal Resource Management Program aims to save marine life, as well as preserve and rehabilitate or restore degraded coral reefs and seagrass in the city's coastal waters.  The city has marine reserves covering around 37.24 hectares and a coral reef area of approximately 1,030.00 hectares.  The program shall include the conduct of information and education campaigns and trainings; the planting of new coral fragments on a coral nursery; and coral planting and replanting.  Renegeration for fish shelters are also planned to enhance coral and fish recruitment, and expand habitat.  Seagrass expansion and replanting are also included in the activities.",,Under construction / set up,Policy/Strategies/Action Plans
902,Capacity Building/Trainings - City of Ligao,"City of Ligao, Philippines",Philippines,"There are on-going programs that the LGU conducts to empower and capacitate the community. Some of these are the following:
1. Conduct of Community-Managed Disaster Risk Reduction Towards Climate Change Resiliency to all 55 barangays of Ligao City. The community does the assessments (hazard, vulnerability, capacity). Its final output is a barangay hazard map.
2. On-going orientation to 55 barangays of Ligao City of the ordinance no. 2011-002, otherwise known as the City Ecological Solid Waste Management Ordinance.
3. Tree Plantation Establishment Training",2050,In operation,Education/Awareness Raising
903,Establishment of Techno-demo for vegetable production - City of Ligao,"City of Ligao, Philippines",Philippines,Provision of new technology on vegetable production,2050,In operation,Technical/Infrastructure investment
904,Ram Pump Irrigation System - City of Ligao,"City of Ligao, Philippines",Philippines,"Ram Pump Irrigation System is a project granted by the Bureau of Soils and Water Management to LGUs specifically at barangay Amtic, Ligao City under the High Value Crops Commercialization Program.  ",2013,Completed,Technical/Infrastructure investment
905,Bamboo Plantation and Bamboo Establishment Center - City of Ligao,"City of Ligao, Philippines",Philippines,"A Public-Private Partnership on Climate Change, Disaster Preparedness and Sustainability among the City Government of Ligao, Management Association of the Philippines, Philippine Chamber of Agriculture and Food, Inc., EARTH Institute Asia, Inc., and Bicol University which primarily aims to establish a project in Ligao City that is focused on using bamboo for greening the environment  and for providing sustainable livelihood and business opportunities to the local communities of Ligao City with the components:
a. 2,000 hectares of land area for establishment of a bamboo plantation;
b. At least three hectares for a bamboo center with the following components: a model bamboo house cum training/meeting area, nursery, bambusetum, crafts and trading post, and gardens.",2012,In operation,Technical/Infrastructure investment
906,"Community Potable Water, Sanitation and Hygiene (CPWASH) Project - City of Ligao","City of Ligao, Philippines",Philippines,"The Community Potable Water, Sanitation and Hygiene (CPWASH) Project aims to enhance household access to potable water and sanitation services by improving the water supply and sanitation situation in a particular barangay (village/community) through the introduction of low-cost, culturally-acceptable and appropriate technologies that can be managed and sustained by the community. This project is pursuant to the public-private partnership thrust.",2012,Completed,Technical/Infrastructure investment
907,Earth Day 2012 celebration - City of Ligao,"City of Ligao, Philippines",Philippines,,2012,Completed,Education/Awareness Raising
908,"Skills Training on Raw Materials Processing, Treatment and Preservation and Basic Karagumoi Weaving Techniques - City of Ligao","City of Ligao, Philippines",Philippines,"Ligao City is endowed with abundance of karagumoi (s.n. Pandanus simplex) plants which has remained untapped ever since its existence. A few has utilized said plant for making mats and bayong for domestic consumption only but never considered its potential in the local and world market.
Recognizing the very high and cast potential of the Bayong, both in the local and foreign market and in view of the ""NO PLASTIC POLICY"" of our city to abate the negative effects of the use of plastic in our day to day activities.
It is hoped that with the assistance of the Department of Trade and Industry (DTI) and the office of the 3rd Congressional District of Albay, the women in the countryside will be given the opportunity to learn and improve the craft, earn additional income and contribute to the economic activity of their barangay.",2012,In operation,Education/Awareness Raising
909,Earth Hour 2012 celebration - City of Ligao,"City of Ligao, Philippines",Philippines,The City Government of Ligao thru the City Environment and Natural Resources Office (City ENRO) in cooperation with multi-stakeholders once again joined the global community in the celebration of Earth Hour 2012.,2012,Completed,Education/Awareness Raising
910,"Search for Eco-friendly Barangay, Establishments, Schools and Best Tree Grower - City of Ligao","City of Ligao, Philippines",Philippines,,2011,In operation,Technical/Infrastructure investment
911,Rootcrops production - City of Ligao,"City of Ligao, Philippines",Philippines,A hunger mitigation project to address malnutrition.,2011,In operation,Policy/Strategies/Action Plans
912,Grafted pili production - City of Ligao,"City of Ligao, Philippines",Philippines,,2011,In operation,Policy/Strategies/Action Plans
913,Operation and Maintenance of Abacca Nurseries - City of Ligao,"City of Ligao, Philippines",Philippines,Production of clean and high-yielding abacca in order to revive abacca industry within the city.,2011,In operation,Technical/Infrastructure investment
914,Sugarcane production - City of Ligao,"City of Ligao, Philippines",Philippines,,2011,In operation,Policy/Strategies/Action Plans
915,Tiger grass production - City of Ligao,"City of Ligao, Philippines",Philippines,A viable livelihood opportunity for the upland communities and a strategy for rehabilitation of degraded upland areas thereby controlling soil erosion.,2011,In operation,Policy/Strategies/Action Plans
916,Banana production - City of Ligao,"City of Ligao, Philippines",Philippines,,2011,In operation,Policy/Strategies/Action Plans
917,Off-season vegetable production - City of Ligao,"City of Ligao, Philippines",Philippines,Protective culture and techno-demo transfer,2011,In operation,Technical/Infrastructure investment
918,"Completion of CMDRR Training, Contingency Plan and Action Plan of 55 Barangays (Villages) of Ligao City - City of Ligao","City of Ligao, Philippines",Philippines,,2011,Completed,Education/Awareness Raising
919,Establishment of man-made forest - City of Ligao,"City of Ligao, Philippines",Philippines,,2011,In operation,Technical/Infrastructure investment
920,Ordinance Number 2011-016 - City of Ligao,"City of Ligao, Philippines",Philippines,"An ordinance mainstreaming Climate Change into city policy formulations, establishing the strategies and program on Climate Change, creating for this purpose the City Climate Change Office, and for other purposes.",2011,,Regulatory
921,Padyak (Pedicab) Boundary-Hulog - City of Ligao,"City of Ligao, Philippines",Philippines,"Padyak (Pedicab) Boundary-Hulog is one of the programs under LPG-SEED Program where pedicab drivers who don't have their own units may avail from the city on a boundary basis. They have to pay the unit for 2-year period for a minimum amount.
This program also aims to reduce the emissions brought about by too much use of diesel and gasoline by the vehicles around the city proper.",2011,Completed,Fiscal / Financial mechanism
922,Ordinance Number 2011-002 - City of Ligao,"City of Ligao, Philippines",Philippines,Ligao City Ecological Solid Waste Management Ordinance,2011,In operation,Regulatory
923,Ordinance Number 2011-001 - City of Ligao,"City of Ligao, Philippines",Philippines,Ligao City Anti-smoking ordinance,2011,In operation,Regulatory
924,Ordinance Number 2011-018 - City of Ligao,"City of Ligao, Philippines",Philippines,"An ordinance adopting Provincial Ordinance No. 2011-3 entitled ""An ordinance prohibiting the use of plastic bags on dry goods and regulating its use on wet goods and prohibiting use of styrofoam and other synthetic materials harmful to the environment and prescribing penalties thereof""",2011,In operation,Regulatory
925,Rice Production Asisstance - City of Ligao,"City of Ligao, Philippines",Philippines,Procurement of hybid palay seeds for planting materials (hybrid commercialization),2011,In operation,Technical/Infrastructure investment
926,Coconut OPV distribution and rehabilitation - City of Ligao,"City of Ligao, Philippines",Philippines,Maintenance of coconut nursery for distribution to rehabilitate damaged coconut plantations,2010,In operation,Technical/Infrastructure investment
927,Crop protection - City of Ligao,"City of Ligao, Philippines",Philippines,Provision of agricultural materials and payment of insurance fees to ensure recovery from losses to due infestations and natural calamities.,2008,In operation,Technical/Infrastructure investment
928,Ordinance number 2008-009 (Fisheries Code of Ligao City) - City of Ligao,"City of Ligao, Philippines",Philippines,,2008,In operation,Regulatory
929,River Rehabilitation and Management - City of Ligao,"City of Ligao, Philippines",Philippines,"Assessment, rehabilitation, and protection of rivers.",2008,In operation,Technical/Infrastructure investment
930,Establishment of Conservation Farming Villages - City of Ligao,"City of Ligao, Philippines",Philippines,"The City is the recipient of the National Program entitled Sustainable Upland Development through the establishment of Barangay-Sagip Saka (Conservation Farming Villages) in Ligao City. This aims sustainable improvement in human lives through better livelihood, agricultural productivity and environmental security of communities living in the marginal sloping lands through widespread adoptation of knowledge on conservation farming/sloping land management technologies and approaches in marginal upland communities. The project started in Oct. 2008 at barangays (villages) of Abella, Oma-Oma, and Maonon at 15 farms.",2008,In operation,Technical/Infrastructure investment
931,Fish Sanctuary and Marine Reserve - City of Ligao,"City of Ligao, Philippines",Philippines,"Fishery is one of the renewable resources (capable of regenerating through natural reproduction) but harvested under condition of open access. This represents a lack of     property rights rights of ownership of any kind, which means that no one  can prevent another from using the natural resource and appropriating a share of the returns from the resource.  This lack of property rights to the fish leads to serious problems in natural resource problems in natural resource use which include overfishing, inefficient use of factor inputs, low returns to fishing industries and even the extinction of fish stock.  Extinction has occurred largely as a big product of economic activity that did not put a social value on these living creatures.",2006,In operation,Policy/Strategies/Action Plans
932,Ordinance Number 2006-005 - City of Ligao,"City of Ligao, Philippines",Philippines,"An ordinance regulating the construction, maintenance and raising of large cattle, piggery and poultry within the residential areas.",2006,In operation,Regulatory
933,Mangrove Enhancement Project - City of Ligao,"City of Ligao, Philippines",Philippines,"Mangroves serve ecological functions to fisheries and provide other benefits to man.  It protects coastlines and coastal communities from waves, tidal currents and typhoons.  Its specialized roots trap and hold sediments and siltation from uplands and promotes  clean water, growth of corals and seagrass. It also provides for nutrient enrichment and fish stock replenishment and serve as wildlife and bird sanctuaries.  The City of Ligao has three coastal barangays with mangrove areas of about 42.5 hectares but are dwindling because of illegal cutting activities.  To ensure protection of mangroves, clean-up, enhancement and mangrovetum planting are conducted by the city in partnership with the Fisheries and Aquatic Resources Management Council.  From 2008 to date, about 165,000 mangrove propagules have been  already planted.  Mangrove nursery is also established to ensure continuous sustainable supply of mangrove for planting and enhancement purposes. Some twenty species of mangrove can be found in city\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'s coastal area.  Among these species, bungalon (Avicennia marina) and malatangal (Ceriops decandra) are the most dominant species.",2006,In operation,Technical/Infrastructure investment
934,Agroforestry Nursery  Maintenance - City of Ligao,"City of Ligao, Philippines",Philippines,"The city\\\'s nursery is located  within the city dumpsite at Bonga which is about 3 kilometers from the city proper and at Barangay Oma-Oma which is about 25 kilometers from the city. The former was established in 2006 to ensure enough supply of trees for the reforestation and the tree planting activities while the latter was established in 2009 through the CFV project. Seedlings raised include narra, mahogany, acasia auri, gmelina and other forest and fruit tree species.",2006,In operation,Technical/Infrastructure investment
935,Tree Planting - City of Ligao,"City of Ligao, Philippines",Philippines,Trees play vital role in the absorption of harmful carbon dioxide that causes global warming. CO2 is used by plants to produce food in the process of photosynthesis. Cutting of trees shall mean increase in CO2 accumulation in the athmosphere that warms the earth. Several tree planting activities are being conducted by the city. Tree planting activities are usualy done to watershed areas.,2005,In operation,Technical/Infrastructure investment
936,Ordinance Number 2005-024 - City of Ligao,"City of Ligao, Philippines",Philippines,Banning the open burning of waste materials,2005,In operation,Regulatory
937,Ordinance number 2005-013 - City of Ligao,"City of Ligao, Philippines",Philippines,Sagip-Ilog ng Ligao (Save the River) ordinance of Ligao City,2005,In operation,Regulatory
938,Watershed/Forest Protection and Management - City of Ligao,"City of Ligao, Philippines",Philippines,Watershed may be  defined as a topographically delineated area that catches rain drained by a river system with one outlet. ,2004,In operation,Policy/Strategies/Action Plans
939,Agricultural Intensification - City of Ligao,"City of Ligao, Philippines",Philippines,"Extension services had been part of the agricultural support systems wherein farmers were trained on crop production through Farmer\'s Field School (FFS) including management practices fron seed to seed in partnership with the DA and ATI. A total of 957 farmers were trained that share their knowledge to cod-farmers. Farmers provided with planting materials (hybreed & inbreed) to intensify rice, corn and vegetable production. To ensure supply of vegetables in the homes, Food Always In The Home (FAITH) gardening is recommended for schools and households.
Other agricultural activities include construction of post-harvest faciliities (mechanical dryer), synchronized planting to break pest and disease cycles, planting of high yielding and resistant varieties and promotion of organic farming through vermicomposting and use of farm and animal wastes.",2003,In operation,Education/Awareness Raising
940,Makati Clean & Green Award - City of Makati,"City of Makati, Philippines",Philippines,"As part of the City's advocacy awareness activities, Makati continuously implement the Makati City Clean and Green Search for the Cleanest and Greenest Barangays, Health Centers, Fire Sub-stations, Police Community Precincts and Public Schools.  eaded by the Makati City Clean and Green Search Committee, a quarterly inspection is being conducted to assess the city's institutions if they are implementing measures towards cleanliness, taking into account solid waste management, urban greening and air quality management, among others.",,In operation,Public Participation/Stakeholder engagement
941,Comprehensive Land Use Plan (2013-2013) Mainstreaming Climate Change and Disaster Risk Resiliency - City of Makati,"City of Makati, Philippines",Philippines,"In 2012, Makati City's Comprehensive Land Use Plan (2013-2013) was updated and approved by Housing and Land Use Regulatory Board (HLURB) which mainstream climate change adaptation. The updating of the CLUP is a perfect opportunity to integrate the GHG Management Initiative in the allocation of resources. CLUP is a critical planning document for Makati as it influences the development  of the city in the area of environmental stability, spatial integration, food security and access to physical and natural resources. The management of the GHG emissions  from its key sources sector - stationary energy, transportation, waste electricity - will be significantly  affected by programs and projects that are included in the CLUP",,Completed,Policy/Strategies/Action Plans
942,Makati Green Urban Design - City of Makati,"City of Makati, Philippines",Philippines,"he Center is expected to provide the barangay officials with the basic knowledge and design skills needed to be able to propose urban design projects that provide/reinforce the identity of their respective barangays and are sustainable and eco-friendly.  The design proposals are expected to be more than the usual projects of the baranagays (i.e. basketball courts, signages and waiting sheds).  The participants are also expected to not just produce conceptual designs but also formulate action plans for the implementation, operation and maintenance of their proposed projects.  It aims to enhance the quality of life through an integrated approach linking the City’s built structures and natural elements. The Center will take on the larger project of evolving a long term vision for the physical development of Makati linking this to its economic outlook, social and cultural aspirations and the larger goal of defining its sense of place for all its citizens.",,In operation,Public Participation/Stakeholder engagement
