name,country,commitments,submission,year,region,population,sectors,target
Lutsk,Ukraine,2020,2018-08-27				,2015			,"",212000,Local heat cold production; Local electricity production; Transport; Residential buildings; Municipal buildings equipment facilities; Public lighting; Others,20%
Luzzana,Italy,2020,2017-07-06				,2011			,"",868,Transport; Tertiary buildings equipment facilities; Residential buildings; Local electricity production; Public lighting; Others; Municipal buildings equipment facilities,21%
Lviv,Ukraine,2020,2015-11-19				,2011			,"",758351,Industry; Transport; Municipal buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others; Tertiary buildings equipment facilities,21%
Lörrach,Germany,2020,2015-03-19				,2012			,"",48400,Local heat cold production; Public lighting; Local electricity production; Residential buildings; Industry; Transport; Others; Municipal buildings equipment facilities; Tertiary buildings equipment facilities,48%
MEDA,Italy,2020,2016-12-08				,2014			,"",23532,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,21%
MEDESANO,Italy,2020;2030;ADAPT,2017-09-29				,2014			,"",10649,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,20%
MERBES LE CHATEAU,Belgium,2030;ADAPT,2018-09-25				,2018			,Arr. Thuin,5000,Others; Residential buildings; Tertiary buildings equipment facilities; Transport; Industry; Public lighting; Local heat cold production; Local electricity production; Municipal buildings equipment facilities,40%
MOLVENA,Italy,2020,2017-09-27				,2015			,Vicenza,2591,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting,21%
MONTEDINOVE,Italy,2020,2015-08-26				,2012			,Ascoli Piceno,535,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,26%
Maaseik,Belgium,2020;2030;ADAPT,2015-04-24				,2012			,"",24570,Municipal buildings equipment facilities; Residential buildings; Others; Transport; Local electricity production; Public lighting; Tertiary buildings equipment facilities,20%
Maasmechelen,Belgium,2020;2030;ADAPT,2016-02-04				,2013			,"",36937,Others; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Transport; Tertiary buildings equipment facilities,20%
Macael,Spain,2020,2018-11-09				,2011			,"",6055,Others; Public lighting; Transport; Industry; Municipal buildings equipment facilities; Local electricity production,20%
Macharaviaya,Spain,2020,2017-11-14				,2011			,"",400,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Industry; Others; Public lighting,21%
Machelen,Belgium,2020,2018-08-27				,2016			,Arr. Halle-Vilvoorde,14268,Tertiary buildings equipment facilities; Others; Local heat cold production; Local electricity production; Transport; Industry; Residential buildings; Municipal buildings equipment facilities; Public lighting,20%
Madone,Italy,2020,2015-03-03				,2012			,"",4010,Others; Public lighting; Local electricity production; Residential buildings; Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Local heat cold production,25%
Madremanya,Spain,2020,2018-02-01				,2014			,"",270,Others; Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Local electricity production,25%
Magliano Romano,Italy,2020,2015-02-24				,2011			,"",1518,Transport; Municipal buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,27%
Magliano Sabina,Italy,2020,2014-12-30				,2011			,"",3890,Transport; Others; Municipal buildings equipment facilities; Public lighting; Local electricity production,25%
Magliano de' Marsi,Italy,2020,2015-11-26				,2015			,"",4012,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Local heat cold production,21%
Mairena del Alcor,Spain,2020,2016-08-10				,2012			,"",19750,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Mairena del Aljarafe,Spain,2020,2016-08-10				,2011			,"",38510,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others,20%
Malegno,Italy,2020;2030;ADAPT,2015-09-24				,2013			,Brescia,2115,Others; Local electricity production; Transport; Public lighting; Residential buildings; Tertiary buildings equipment facilities; Municipal buildings equipment facilities,36%
Malgrat de Mar,Spain,2020;2030;ADAPT,2016-03-11				,2011			,"",18472,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Others; Local electricity production,20%
Malgrate,Italy,2020,2015-11-03				,2014			,"",4324,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local heat cold production; Others,25%
Malmö,Sweden,2020,2015-02-20				,2011			,"",320000,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Others; Local heat cold production,40%
Mandello del Lario,Italy,2020,2016-03-08				,2013			,"",10628,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,23%
Manilva,Spain,2020,2017-11-14				,2012			,"",14168,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Manlleu,Spain,2020,2015-07-07				,2009			,"",20647,Others; Municipal buildings equipment facilities; Local electricity production; Transport; Tertiary buildings equipment facilities; Residential buildings; Public lighting,22%
Manresa,Spain,2020;2030;ADAPT,2015-04-28				,2009			,"",76558,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Mantova,Italy,2020;2030;ADAPT,2016-10-07				,2014			,Mantova,49216,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local heat cold production; Others,20%
Manziana,Italy,2020,2015-07-17				,2013			,"",6649,Transport; Municipal buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,27%
Mapello,Italy,2020,2015-02-16				,2012			,"",6611,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,22%
Maracena,Spain,2020,2018-09-28				,2011			,"",18819,Others; Transport; Residential buildings; Municipal buildings equipment facilities; Public lighting; Industry,28%
Maranello,Italy,2020,2018-01-11				,2010			,"",17693,Municipal buildings equipment facilities; Residential buildings; Transport; Local electricity production; Others; Public lighting; Local heat cold production,21%
Marbella,Spain,2020,2017-11-13				,2012			,"",136322,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others,20%
Marcallo con Casone,Italy,2020,2015-02-20				,2012			,"",6090,Residential buildings; Public lighting; Transport; Municipal buildings equipment facilities; Local heat cold production; Local electricity production; Others; Tertiary buildings equipment facilities,40%
Marcaria,Italy,2020,2016-11-24				,2014			,Mantova,6965,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local heat cold production; Others,20%
Marchal,Spain,2020,2018-10-01				,2012			,"",404,Others; Local electricity production; Transport; Public lighting; Municipal buildings equipment facilities; Residential buildings,23%
Marchena,Spain,2020,2016-08-10				,2011			,"",20000,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Others,20%
Mareno di Piave,Italy,2020,2019-02-26				,2019			,"",9718,Local electricity production; Municipal buildings equipment facilities; Transport; Residential buildings; Public lighting; Others,22%
Mariano Comense,Italy,2020;2030;ADAPT,2015-02-19				,2011			,"",23890,Transport; Local electricity production; Municipal buildings equipment facilities; Others; Local heat cold production; Public lighting; Residential buildings; Tertiary buildings equipment facilities,20%
Marinaleda,Spain,2020,2016-08-10				,2012			,"",2819,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others; Local heat cold production,27%
Marmirolo,Italy,2020,2018-09-24				,2018			,Mantova,7768,Local electricity production; Transport; Others; Local heat cold production; Municipal buildings equipment facilities; Residential buildings; Tertiary buildings equipment facilities; Public lighting; Industry,21%
Marone,Italy,2020,2015-02-23				,2012			,"",3330,Local electricity production; Others; Residential buildings; Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Local heat cold production,20%
Marsala,Italy,2020;2030;ADAPT,2017-09-01				,2014			,Trapani,80322,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry,21%
Martelange,Belgium,2020,2018-09-04				,2016			,Arr. Arlon,1813,Transport; Residential buildings; Municipal buildings equipment facilities; Others; Local electricity production; Industry; Tertiary buildings equipment facilities,24%
Martellago,Italy,2020,2015-11-16				,2012			,"",21279,Residential buildings; Municipal buildings equipment facilities; Others; Local electricity production; Public lighting; Transport,24%
Martin de la Jara,Spain,2020,2016-08-10				,2012			,"",2737,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,33%
Martinengo,Italy,2020,2015-11-23				,2012			,"",10121,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,22%
Martorell,Spain,2020,2018-11-23				,2010			,"",26681,Others; Local electricity production; Transport; Public lighting; Residential buildings; Tertiary buildings equipment facilities; Municipal buildings equipment facilities,27%
Martorelles,Spain,2020;2030;ADAPT,2015-12-04				,2011			,"",4922,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting,31%
Marvão,Portugal,2020,2015-06-22				,2012			,"",3578,Transport; Municipal buildings equipment facilities; Public lighting,30%
María,Spain,2020,2018-10-15				,2011			,"",1565,Others; Transport; Public lighting; Residential buildings; Municipal buildings equipment facilities,27%
Masarac,Spain,2020,2018-12-17				,2015			,"",292,Residential buildings; Municipal buildings equipment facilities; Local electricity production; Public lighting; Transport; Others; Tertiary buildings equipment facilities; Local heat cold production,28.52%
Masate,Italy,2020,2015-02-19				,2012			,"",2459,Others; Public lighting; Municipal buildings equipment facilities; Local heat cold production; Local electricity production; Residential buildings; Transport; Tertiary buildings equipment facilities,27%
Masciago Primo,Italy,2020,2015-02-23				,2013			,"",289,Others; Local electricity production; Residential buildings; Tertiary buildings equipment facilities; Industry; Local heat cold production; Public lighting; Transport; Municipal buildings equipment facilities,25%
Maslianico,Italy,2020,2016-10-20				,2014			,"",3387,Others; Transport; Local heat cold production; Municipal buildings equipment facilities; Local electricity production; Tertiary buildings equipment facilities; Public lighting; Industry; Residential buildings,20%
Masquefa,Spain,2020,2017-11-29				,2014			,"",8373,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,21%
Massa Lombarda,Italy,2020;2030;ADAPT,2018-11-28				,2013			,"",10700,Others; Industry; Transport; Public lighting; Tertiary buildings equipment facilities; Local heat cold production; Local electricity production; Residential buildings; Municipal buildings equipment facilities,21%
Massa d'Albe,Italy,2020,2015-12-08				,2015			,L'Aquila,1571,Local electricity production; Municipal buildings equipment facilities; Residential buildings,21%
Massanes,Spain,2020,2019-03-21				,2016			,"",710,Municipal buildings equipment facilities; Residential buildings; Tertiary buildings equipment facilities; Transport; Public lighting; Local electricity production; Others,20%
Masty ,Belarus,2030;ADAPT,2018-12-28				,2019			,"",28554,Public lighting; Municipal buildings equipment facilities; Industry; Residential buildings; Transport; Local electricity production; Tertiary buildings equipment facilities; Others; Local heat cold production,30%
Matadepera,Spain,2020,2015-12-03				,2013			,"",8813,Municipal buildings equipment facilities; Transport; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others; Local electricity production,22%
Mataró,Spain,2020;2030;ADAPT,2014-12-17				,2010			,"",121746,Transport; Municipal buildings equipment facilities; Others; Public lighting; Local heat cold production; Local electricity production; Residential buildings; Tertiary buildings equipment facilities,20%
Matosinhos,Portugal,2020,2016-02-17				,2012			,"",174283,Transport; Residential buildings; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Industry; Public lighting; Others,21%
Mazzin,Italy,2020,2017-03-09				,2013			,"",508,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,22%
Maçanet de Cabrenys,Spain,2020,2019-01-04				,2015			,"",884,Residential buildings; Others; Public lighting; Municipal buildings equipment facilities; Local heat cold production; Transport; Local electricity production,23%
Maçanet de la Selva,Spain,2020,2017-05-25				,2014			,"",7200,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Mechelen,Belgium,2020;2030;ADAPT,2016-02-24				,2014			,Arr. Mechelen,82275,Local electricity production; Residential buildings; Tertiary buildings equipment facilities; Industry; Transport; Public lighting; Municipal buildings equipment facilities; Local heat cold production,20%
Medicina,Italy,2020,2018-12-04				,2014			,"",16774,Others; Local heat cold production; Industry; Public lighting; Residential buildings; Tertiary buildings equipment facilities; Municipal buildings equipment facilities; Local electricity production; Transport,58%
Medina Sidonia,Spain,2020,2018-01-09				,2011			,"",11780,Municipal buildings equipment facilities; Public lighting; Local electricity production; Residential buildings,40%
Mediona,Spain,2020,2017-07-14				,2011			,"",2360,Local electricity production; Municipal buildings equipment facilities; Residential buildings; Transport; Public lighting; Others,32%
Medolago,Italy,2020,2016-02-23				,2013			,"",2374,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Others; Public lighting,20%
Meerhout,Belgium,2020,2017-02-20				,2015			,"",9913,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,20%
Meeuwen-Gruitrode,Belgium,2020;2030;ADAPT,2017-05-23				,2013			,"",12832,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Others; Public lighting,21%
Meise,Belgium,2020,2019-03-15				,2016			,Arr. Halle-Vilvoorde,18517,Local electricity production; Transport; Residential buildings; Tertiary buildings equipment facilities; Municipal buildings equipment facilities; Public lighting,20%
Melegnano,Italy,2020,2016-02-04				,2011			,"",17260,Others; Transport; Municipal buildings equipment facilities; Public lighting; Local electricity production,23%
Melgaço,Portugal,2020,2017-02-23				,2012			,"",9304,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Melzo,Italy,2020,2015-01-28				,2011			,"",18373,Others; Local heat cold production; Local electricity production; Transport; Municipal buildings equipment facilities; Public lighting,21%
Mena,Ukraine,2020,2016-04-07				,2014			,"",12231,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,20%
Merano/Meran,Italy,2020,2017-01-25				,2014			,"",37200,Industry; Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Residential buildings; Local heat cold production; Tertiary buildings equipment facilities; Others,21%
Merate,Italy,2020,2015-02-18				,2011			,Lecco,15000,Tertiary buildings equipment facilities; Municipal buildings equipment facilities; Others; Public lighting; Transport; Residential buildings,20%
Mercallo,Italy,2020,2015-02-23				,2013			,"",1816,Others; Residential buildings; Industry; Transport; Municipal buildings equipment facilities; Public lighting; Local electricity production; Tertiary buildings equipment facilities; Local heat cold production,30%
Merchtem,Belgium,2020,2017-12-12				,2015			,Arr. Halle-Vilvoorde,15905,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Merksplas,Belgium,2020,2017-01-20				,2015			,"",8576,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Industry; Local heat cold production; Others,20%
Merlino,Italy,2020,2015-04-15				,2012			,"",1800,Local heat cold production; Municipal buildings equipment facilities; Others; Transport; Tertiary buildings equipment facilities; Residential buildings; Local electricity production; Industry; Public lighting,21%
Mesenzana,Italy,2020,2015-02-23				,2012			,"",1473,Others; Transport; Municipal buildings equipment facilities; Local electricity production; Industry; Public lighting; Tertiary buildings equipment facilities; Local heat cold production; Residential buildings,35%
Mestrino,Italy,2020,2015-11-23				,2012			,"",9211,Local electricity production; Transport; Others; Industry; Residential buildings; Tertiary buildings equipment facilities; Municipal buildings equipment facilities; Public lighting,21%
Mesão Frio,Portugal,2020,2018-02-20				,2015			,Douro,4386,Residential buildings; Public lighting; Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Industry; Others,21%
Metz,France,2020,2019-03-26				,2012			,"",122838,Others; Transport; Local electricity production; Local heat cold production; Residential buildings; Public lighting; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Industry,22%
Mezzago,Italy,2020,2014-09-18				,2011			,"",3506,Others; Tertiary buildings equipment facilities; Local electricity production; Residential buildings; Transport; Municipal buildings equipment facilities; Public lighting,23%
Mezzocorona,Italy,2020,2015-07-21				,2015			,"",4936,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Industry; Others; Local heat cold production,31%
Mezzoldo,Italy,2020,2016-08-05				,2012			,"",197,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production,89%
Miane,Italy,2020,2018-10-11				,2016			,Treviso,3394,Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Others; Transport; Public lighting; Local electricity production,29%
Midden-Delfland,Netherlands,2020,2016-05-04				,2014			,"",18000,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local heat cold production; Others,30%
Mijas,Spain,2020,2017-11-13				,2011			,"",53555,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others,23%
Milan,Italy,2020;2030;ADAPT,2017-02-23				,2017			,"",1352000,Others; Local heat cold production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Transport,20%
Milton Keynes,United Kingdom,2020,2016-08-05				,2011			,"",241500,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Others; Public lighting,40%
Mirabello,Italy,2020,2018-10-22				,2015			,"",3528,Others; Transport; Public lighting; Municipal buildings equipment facilities; Residential buildings; Local electricity production,24%
Miradolo Terme,Italy,2020,2015-05-05				,2015			,"",3979,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,24%
Mirano,Italy,2020,2015-11-12				,2013			,"",27252,Others; Tertiary buildings equipment facilities; Residential buildings; Transport; Municipal buildings equipment facilities; Public lighting; Local electricity production,20%
Misano di Gera d'Adda,Italy,2020,2017-11-20				,2012			,"",3024,Others; Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local electricity production,20%
Miskolc,Hungary,2020,2018-12-05				,2016			,Borsod-Abaúj-Zemplén,161265,Municipal buildings equipment facilities; Others; Local heat cold production; Local electricity production; Tertiary buildings equipment facilities; Transport; Public lighting; Residential buildings,20%
Missaglia,Italy,2020,2016-03-02				,2013			,"",8655,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,21%
Mizil,Romania,2020,2015-02-19				,2011			,"",16319,Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,20%
Moclinejo,Spain,2020,2017-11-13				,2011			,"",4146,Transport; Municipal buildings equipment facilities; Residential buildings; Others; Local electricity production,21%
Moclín,Spain,2020,2018-09-28				,2011			,"",4205,Local electricity production; Others; Transport; Residential buildings; Public lighting,21%
Modena,Italy,2020,2018-02-13				,2011			,"",183114,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local heat cold production; Others,21%
Moena,Italy,2020,2017-03-13				,2013			,"",2697,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,27%
Mogliano Veneto,Italy,2020,2017-12-05				,2015			,Treviso,27527,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Moguer,Spain,2020,2017-07-27				,2011			,"",19569,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others,20%
Moimenta da Beira,Portugal,2020,2018-02-19				,2015			,Douro,10190,Residential buildings; Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Industry; Others,20%
Moinești,Romania,2020;2030;ADAPT,2015-09-17				,2012			,Bacău,21500,Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Others; Local electricity production; Transport; Public lighting,20%
Moio de Calvi,Italy,2020,2016-08-05				,2012			,"",199,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Local heat cold production,91%
Mojácar,Spain,2020,2018-11-09				,2011			,"",6092,Others; Transport; Residential buildings; Municipal buildings equipment facilities,24%
Mol,Belgium,2020,2016-12-20				,2015			,"",34827,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,20%
Molenbeek-Saint-Jean,Belgium,2020,2017-02-27				,2017			,"",95576,Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting,20%
Molina Aterno,Italy,2020,2015-11-26				,2015			,L'Aquila,415,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting,21%
Molins de Rei,Spain,2020,2015-03-26				,2011			,"",24067,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,18%
Mollet del Vallès,Spain,2020;2030;ADAPT,2016-12-20				,2010			,"",52484,Public lighting; Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Others; Local electricity production; Local heat cold production,20%
Mollina,Spain,2020,2017-11-13				,2012			,"",5274,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others,20%
Moneglia,Italy,2020,2015-02-25				,2015			,"",2735,Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Monistrol de Calders,Spain,2020,2017-06-06				,2012			,"",689,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others; Residential buildings,20%
Monselice,Italy,2020,2015-02-23				,2013			,"",17513,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others; Residential buildings; Tertiary buildings equipment facilities,20%
Montaione,Italy,2020,2015-02-17				,2011			,"",3773,Municipal buildings equipment facilities; Others; Local heat cold production; Transport; Residential buildings; Public lighting; Local electricity production,27%
Montanaso Lombardo,Italy,2020,2016-10-27				,2013			,"",2285,Transport; Others; Residential buildings; Tertiary buildings equipment facilities; Local electricity production; Local heat cold production; Public lighting; Municipal buildings equipment facilities,21%
Monte Isola,Italy,2020,2017-06-19				,2015			,"",1774,Public lighting; Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Local heat cold production; Others,21%
Monte San Pietro,Italy,2020,2016-10-25				,2013			,"",10956,Residential buildings; Municipal buildings equipment facilities; Public lighting; Local electricity production; Transport,22%
Montebello Sul S.,Italy,2020,2015-06-22				,2012			,"",105,Transport; Local electricity production; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others; Municipal buildings equipment facilities,22%
Montebelluna,Italy,2020,2015-10-16				,2012			,"",31181,Tertiary buildings equipment facilities; Transport; Municipal buildings equipment facilities; Public lighting; Local electricity production; Others,20%
Montecchia di Crosara,Italy,2020,2016-10-28				,2011			,"",4585,Others; Transport; Local electricity production; Industry; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Residential buildings,20%
Montechiarugolo,Italy,2020,2015-11-30				,2013			,"",10550,Residential buildings; Tertiary buildings equipment facilities; Municipal buildings equipment facilities; Others; Public lighting; Transport; Industry; Local electricity production; Local heat cold production,24%
Montecorto,Spain,2020,2017-11-13				,2011			,"",650,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Others; Public lighting,20%
Montefrío,Spain,2020,2018-09-28				,2011			,"",6357,Others; Public lighting; Municipal buildings equipment facilities; Transport; Local electricity production,21%
Montejícar,Spain,2020,2016-11-25				,2012			,"",2442,Others; Local electricity production; Transport; Public lighting; Residential buildings; Tertiary buildings equipment facilities; Municipal buildings equipment facilities,100%
Montellano,Spain,2020,2016-08-10				,2012			,"",7146,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,21%
Montereale,Italy,2020,2015-02-19				,2012			,"",2768,Public lighting; Residential buildings; Tertiary buildings equipment facilities; Local electricity production,21%
Monterotondo,Italy,2020,2016-01-29				,2013			,"",39588,Others; Local electricity production; Transport; Industry; Public lighting; Residential buildings; Municipal buildings equipment facilities,21%
Montesilvano,Italy,2020,2015-07-27				,2015			,"",52401,Transport; Municipal buildings equipment facilities; Residential buildings; Public lighting,20%
Montesquiu,Spain,2020,2015-11-17				,2010			,"",858,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Others; Residential buildings; Local electricity production,20%
Montgat,Spain,2020,2016-09-23				,2010			,"",10270,Transport; Local electricity production; Others; Municipal buildings equipment facilities; Public lighting; Residential buildings; Tertiary buildings equipment facilities,20%
Monticelli Pavese,Italy,2020,2015-04-23				,2015			,"",737,Local electricity production; Tertiary buildings equipment facilities; Residential buildings; Transport; Municipal buildings equipment facilities; Others; Public lighting,21%
Montilla,Spain,2020,2018-08-23				,2011			,"",23245,Others; Local electricity production; Transport; Public lighting; Residential buildings; Municipal buildings equipment facilities; Tertiary buildings equipment facilities,20%
Montmajor,Spain,2020,2016-04-22				,2012			,"",472,Public lighting; Others; Residential buildings; Municipal buildings equipment facilities; Local electricity production; Transport,21%
Montmeló,Spain,2020,2017-05-26				,2011			,"",8955,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Residential buildings; Others; Tertiary buildings equipment facilities,20%
Montreux,Switzerland,2020,2015-11-25				,2015			,"",26500,Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local heat cold production; Others; Transport,25%
Monvalle,Italy,2020,2015-02-23				,2013			,"",1991,Others; Local heat cold production; Industry; Residential buildings; Local electricity production; Transport; Tertiary buildings equipment facilities; Municipal buildings equipment facilities,25%
Monza,Italy,2020,2016-03-11				,2014			,"",120204,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local heat cold production; Others,25%
Monção,Portugal,2020,2015-02-27				,2012			,"",18740,Residential buildings; Tertiary buildings equipment facilities; Transport; Others; Public lighting; Municipal buildings equipment facilities,20%
Moorslede,Belgium,2020,2019-01-16				,2017			,Arr. Roeselare,10937,Tertiary buildings equipment facilities; Public lighting; Residential buildings; Transport; Municipal buildings equipment facilities; Local electricity production; Others,20%
Morengo,Italy,2020,2015-05-25				,2012			,"",2474,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,29%
Moriago della Battaglia,Italy,2020,2018-09-29				,2016			,Treviso,2814,Others; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Transport; Local electricity production; Public lighting; Residential buildings,30%
Morimondo,Italy,2020,2016-03-25				,2014			,"",1190,Tertiary buildings equipment facilities; Transport; Residential buildings; Municipal buildings equipment facilities; Public lighting; Others; Local electricity production; Industry,35%
Morino,Italy,2020,2015-12-14				,2015			,"",1560,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting,21%
Morlupo,Italy,2020,2015-02-24				,2012			,"",8269,Industry; Others; Municipal buildings equipment facilities; Public lighting; Transport; Residential buildings,24%
Mornico al Serio,Italy,2020,2015-11-11				,2012			,"",2632,Residential buildings; Others; Local electricity production; Local heat cold production; Transport; Municipal buildings equipment facilities; Public lighting; Tertiary buildings equipment facilities,28%
Morshyn,Ukraine,2020;2030;ADAPT,2018-10-18				,2017			,"",5992,Industry; Municipal buildings equipment facilities; Transport; Residential buildings; Tertiary buildings equipment facilities; Public lighting,20%
