,organization,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,most_prevalent_topic,entity_type,coordinator,city,country,constituency
542,Institute for Climate and Sustainable Cities (iCSC).,6.335419129754882e-06,1.556322331452975e-06,1.5883040305197937e-06,0.03240929916501045,1.2110777788620908e-05,2.290954398631584e-06,3.285187267465517e-05,0.12614628672599792,0.052839796990156174,0.03956994041800499,0.007872259244322777,6.512165782623924e-06,0.004981162492185831,0.2618356943130493,0.4265580475330353,0.03665919974446297,1.543731173114793e-06,0.011063526384532452,15,Non-governmental organizations,Mr. Angelo Kairos Dela Cruz,Quezon City,Philippines,Constituency - Research and independent
543,Institute for Conservation and Sustainable Development of Amazonas,1.1105602425232064e-05,2.72813804258476e-06,2.7841999781230697e-06,0.05903896316885948,2.1229452613624744e-05,4.015902959508821e-06,0.15268205106258392,0.05066768452525139,0.03407391160726547,0.23129647970199585,6.124343781266361e-05,1.1415428161853924e-05,0.00023269327357411385,0.16339851915836334,0.14127294719219208,0.16366462409496307,2.7060664251621347e-06,0.0035549341700971127,10,Non-governmental organizations,Ms. Fernanda Peixoto Barbosa,Manaus,Brazil,Constituency - Environmental
544,"Institute for Energy and Climate Strategies, Inc.",2.5691399059724063e-05,6.311200195341371e-06,6.440892320824787e-06,0.005162504035979509,0.2285452038049698,9.290281013818458e-06,0.00013321473670657724,0.17279812693595886,0.000599036633502692,0.0002714187721721828,0.00014167847984936088,2.640814273036085e-05,0.0005430283490568399,0.15666262805461884,0.4343450665473938,0.0005807125708088279,6.260140708036488e-06,0.0001369829842587933,15,Non-governmental organizations,Mr. Dennis Clare,Brooklyn,United States of America,Constituency - Environmental
545,Institute for Environment and Development Sustainability,4.530071237240918e-06,1.1128311143693281e-06,1.1356992217770312e-06,0.4752803444862366,8.659677405375987e-06,1.6381216028094059e-06,0.003460702719166875,5.211095776758157e-05,0.03182550519704819,0.007223212160170078,0.014391250908374786,4.656451892515179e-06,0.145549476146698,0.1536441296339035,0.1154065728187561,0.05311969667673111,1.1038279126296402e-06,2.4155164283001795e-05,4,Non-governmental organizations,Ms. Abela Gloria Mutabiilwa,Dar Es Salaam,United Republic of Tanzania,Constituency - Environmental
546,Institute for Environmental Security,6.1548585108539555e-06,1.511966843281698e-06,1.5430371149705024e-06,0.01847715675830841,0.0015109081286936998,2.2256617739913054e-06,3.19170649163425e-05,7.050311251077801e-05,0.009064488112926483,0.039866939187049866,0.0202297642827034,6.326567927317228e-06,0.17619408667087555,0.2714235186576843,0.3894449770450592,0.0736108124256134,1.499734594290203e-06,5.5666147090960294e-05,15,Non-governmental organizations,Mr. Ronald Kingham,The Hague,Netherlands,Constituency - Environmental
547,Institute for Global Environmental Strategies,0.04249321669340134,2.073213181574829e-06,2.1158168692636536e-06,0.00015302318206522614,1.613304812053684e-05,3.0518335734086577e-06,4.376605284051038e-05,0.027856772765517235,0.00018870960047934204,8.75303303473629e-05,0.13431215286254883,8.675007848069072e-06,0.00020371878053992987,0.12682244181632996,0.6214466691017151,0.020143326371908188,2.0564402802847326e-06,0.026214605197310448,15,Non-governmental organizations,Mr. Kentaro Tamura,Kanagawa,Japan,Constituency - Research and independent
548,Institute for Governance and Sustainable Development,1.1777899089793209e-05,2.893290456995601e-06,2.952746172013576e-06,0.0128508061170578,2.251461410196498e-05,4.259012712282129e-06,0.0842779129743576,0.04296121746301651,0.003262990154325962,0.04002763330936432,6.49571229587309e-05,1.2106481335649733e-05,0.003008583327755332,0.22735698521137238,0.5743449330329895,0.011721814051270485,2.869882791856071e-06,6.280013622017577e-05,15,Non-governmental organizations,Ms. Trina Chiemi Thorbjornsen,Washington,United States of America,Constituency - Environmental
549,Institute for Public Policy Research,1.6886477169464342e-05,4.1482344386167824e-06,4.233478648529854e-06,0.1243276372551918,3.2280167943099514e-05,6.106328783062054e-06,8.759334741625935e-05,0.007312682922929525,0.13798877596855164,0.008354994468390942,0.006946837063878775,1.735758087306749e-05,0.2990710437297821,0.299031138420105,0.03713109344244003,0.015397008508443832,4.1146736293740105e-06,0.06426604092121124,13,Non-governmental organizations,Mr. Luke Murphy,London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental
550,Institute for Social and Environmental Transition,1.7584514353075065e-05,4.3197101149416994e-06,4.40847816207679e-06,0.03885984048247337,3.361453127581626e-05,6.358745849865954e-06,9.118777961703017e-05,0.0002023264387389645,0.07285205274820328,0.06463611125946045,9.697763744043186e-05,1.807509033824317e-05,0.0034526728559285402,0.2289065420627594,0.5614120960235596,0.029307780787348747,4.284762326278724e-06,9.376781963510439e-05,15,Non-governmental organizations,Mr. Kenneth MacClune,Boulder,United States of America,Constituency - Research and independent
551,Institute for Transportation and Development Policy,1.9774330212385394e-05,4.857647581957281e-06,4.95747008244507e-06,0.1745181828737259,3.780058250413276e-05,7.150606506911572e-06,0.00010253097570966929,0.2917768359184265,0.0019297043327242136,0.04380706697702408,0.03617234528064728,2.032599877566099e-05,0.0004430983681231737,0.12065038084983826,0.27615657448768616,0.03798723220825195,4.818347406398971e-06,0.01635635644197464,8,Non-governmental organizations,Mr. Ramon Javier Cruz-Diaz,New York,United States of America,Constituency - Research and independent
552,Institute of Development Studies,6.476566341007128e-06,1.5909957937765284e-06,1.6236899682553485e-06,0.08451114594936371,1.2380594853311777e-05,2.3419947865477297e-06,3.3584528864594176e-05,0.00046840435243211687,0.20682701468467712,0.02554849535226822,0.011707287281751633,6.657250651187496e-06,0.1378699392080307,0.33003658056259155,0.1886889636516571,0.014241409488022327,1.5781240563228494e-06,3.4532600693637505e-05,14,Non-governmental organizations,Ms. Rosalind Price,Brighton,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent
553,"Institute of Energy Economics, Japan",1.3140674127498642e-05,3.228061814297689e-06,3.294396947239875e-06,0.0002370518195675686,2.5119692509179004e-05,4.751806500280509e-06,6.814098014729097e-05,0.45467409491539,0.1282799243927002,0.00013673286593984812,0.011687736958265305,1.3507275070878677e-05,0.05376921221613884,0.09067849069833755,0.162533700466156,0.04015899822115898,3.2019456739362795e-06,0.0577097050845623,8,Non-governmental organizations,Mr. Takahiko Tagami,Tokyo,Japan,Constituency - ENGO
554,"Institute of Environment and Sustainable Development in Agriculture, Chinese Academy of Agricultural Science",9.625758139009122e-06,2.364608008065261e-06,2.413199581496883e-06,0.00017571577336639166,1.8400585759081878e-05,0.05273282527923584,0.3817382752895355,0.03393334150314331,0.19483792781829834,9.961357136489823e-05,5.308346953825094e-05,9.894300092128105e-06,0.00020609379862435162,0.05430173873901367,0.12162118405103683,0.16020384430885315,2.345477696508169e-06,5.1324492233106866e-05,7,Non-governmental organizations,Ms. Yingchun Li,Beijing,China,Constituency - Environmental
555,Institutional Investors Group on Climate Change Ltd.,3.816272510448471e-06,9.374833780384506e-07,9.56748181124567e-07,0.023379558697342873,7.2951806942000985e-06,1.3800043916489813e-06,1.9788027202594094e-05,0.020535070449113846,0.029991578310728073,0.00040937980520538986,2.104636405420024e-05,0.07707998156547546,0.08847585320472717,0.1259993612766266,0.4352833926677704,0.008260314352810383,9.298988175032719e-07,0.19052937626838684,15,Non-governmental organizations,Ms. Evagelia Emelia Holdaway,London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry
556,Instituto Ethos de Empresas e Responsabilidade Social,7.42258271202445e-05,1.823388629418332e-05,1.8608585378387943e-05,0.17160597443580627,0.00014188997738528997,2.6840842110686935e-05,0.04433722421526909,0.03359257057309151,0.037293691188097,0.2532142400741577,0.00040929432725533843,7.629659376107156e-05,0.06044142693281174,0.18535350263118744,0.08322233706712723,0.0019420651951804757,1.8086368072545156e-05,0.12821350991725922,10,Non-governmental organizations,Ms. Flavia Anguiano Resende,Sao Paulo,Brazil,Constituency - ENGO
557,Instituto Global Attitude,1.1665460988297127e-05,2.865669557650108e-06,2.924557747974177e-06,0.005913039669394493,0.00923387985676527,4.21835375163937e-06,0.00937257893383503,0.010642414912581444,0.02581346407532692,0.24140024185180664,0.009911030530929565,1.1990906386927236e-05,0.11111439019441605,0.33218011260032654,0.16403017938137054,0.03113764524459839,2.8424854008335387e-06,0.049214549362659454,14,Non-governmental organizations,Mr. Rodrigo Reis,São Paulo,Brazil,Constituency - Youth
558,Instituto Interamericano de Cooperación para la Agricultura,5.1734955377469305e-06,1.2708909480352304e-06,1.2970072020834778e-06,0.02572343312203884,9.889647117233835e-06,1.870790697466873e-06,0.12660257518291473,0.004257423337548971,0.0034271094482392073,0.2408682256937027,0.157293900847435,5.3178268899500836e-06,0.013046683743596077,0.05670974403619766,0.20280730724334717,0.15919135510921478,1.2606091104316874e-06,0.010046188719570637,10,Intergovernmental organizations,Mr. Federico Villarreal,San Isidro,Costa Rica,
559,Instituto Internacional de Derecho y Medio Ambiente/International Institute for Law and the Environment,1.643053110456094e-05,4.036228801851394e-06,4.1191715354216285e-06,0.00027859024703502655,0.02650192752480507,5.941453309787903e-06,8.51981749292463e-05,0.022692330181598663,0.014586159028112888,0.16435708105564117,9.060053707798943e-05,1.688891279627569e-05,0.2016099989414215,0.1582777351140976,0.35097959637641907,0.058525633066892624,4.003574758826289e-06,0.0019637439399957657,15,Non-governmental organizations,Mr. Gopal Shilpakar,Madrid,Spain,Constituency - Environmental
560,Instituto Torcuato Di Tella,1.0613566701067612e-05,2.607267333587515e-06,2.660845439095283e-06,0.168980672955513,2.028887865890283e-05,3.837977601506282e-06,5.503272041096352e-05,0.008393255062401295,0.38041064143180847,0.13920579850673676,5.8526744396658614e-05,1.0909666343650315e-05,0.16307397186756134,0.10615435987710953,0.00022086578246671706,0.0333368182182312,2.586173650342971e-06,5.659164526150562e-05,9,Non-governmental organizations,Sr. Daniel Perczyk,Buenos Aires,Argentina,Constituency - Research and independent
561,Instituto de Ecología y Antropología de Acción,5.447484727483243e-05,1.3381974895310123e-05,1.3656968803843483e-05,0.0010255390079692006,0.00010413403651909903,1.969867844309192e-05,0.003594964975491166,0.0006338402163237333,0.23208999633789062,0.22252139449119568,0.0003004182071890682,5.5994594731600955e-05,0.09518563747406006,0.22431638836860657,0.062156107276678085,0.15761063992977142,1.3273710465000477e-05,0.00029045954579487443,9,Non-governmental organizations,Ms. Elke Falley-Rothkopf,Cologne,Germany,Constituency - Environmental
562,Integrated Carbon Observation System European Research Infrastructure Consortium,5.557174972636858e-06,1.365143475595687e-06,1.3931964986113599e-06,9.89870386547409e-05,1.0623088201100472e-05,2.009533091040794e-06,2.8815791665692814e-05,0.12453919649124146,0.01422648224979639,5.7803110394161195e-05,3.0646428058389574e-05,5.712210167985177e-06,0.16191044449806213,0.12866021692752838,0.2412584125995636,0.3291313350200653,1.3540990266847075e-06,2.963064434879925e-05,16,Intergovernmental organizations,Mr. Emmanuel Salmon,Helsinki,Finland,
563,"Intelligentsia International, Inc.",6.326837137748953e-06,1.5542141227342654e-06,1.5861525071159122e-06,0.0823371410369873,1.2094372323190328e-05,2.2878509753354592e-06,0.12008512765169144,0.11585082858800888,0.08721435815095901,0.011882376857101917,3.48875364579726e-05,6.503344593511429e-06,0.0001414589787600562,0.4201238453388214,0.08156690001487732,0.08069740235805511,1.5416400174217415e-06,3.3735213946783915e-05,14,Non-governmental organizations,Mr. Michal Fidler,LaBelle,United States of America,Constituency - Youth
564,Inter-American Development Bank,1.0235460649710149e-05,2.5143840503005777e-06,2.566053581176675e-06,0.012560582719743252,1.9566092305467464e-05,3.7012507618783275e-06,5.307133687892929e-05,0.018001925200223923,0.014549355022609234,0.22030875086784363,0.23441731929779053,1.052101197274169e-05,0.07678340375423431,0.17046113312244415,0.04742936044931412,0.0479898676276207,2.4940418370533735e-06,0.15739361941814423,11,Intergovernmental organizations,Mr. Graham George Watkins,Washington,United States of America,
565,Inter-Parliamentary Union,0.0010137544013559818,1.7748138816386927e-06,1.8112855286744889e-06,0.04435129463672638,1.3811005374009255e-05,2.6125806016352726e-06,3.746610309462994e-05,8.266029180958867e-05,0.008252216503024101,0.018647829070687294,0.26123568415641785,7.426406227750704e-06,0.5909566879272461,0.0010975098703056574,0.002212289720773697,0.07204490900039673,1.7604550066607771e-06,3.852024019579403e-05,13,Intergovernmental organizations,Ms. Aleksandra Blagojevic,Geneva,Switzerland,
566,InterEnvironment Institute,1.675248313404154e-05,4.115318006370217e-06,4.19988600697252e-06,0.027973327785730362,3.202402149327099e-05,6.05787499807775e-06,8.686506771482527e-05,0.00019208750745747238,0.009130249731242657,0.08931683748960495,9.2395166575443e-05,1.7219846995431e-05,0.008486357517540455,0.8304739594459534,0.006804253906011581,0.0004245674062985927,4.082023679075064e-06,0.02693466655910015,14,Non-governmental organizations,Mr. Thaddeus Trzyna,Sacramento,United States of America,Constituency - Environmental
567,Interchurch Organization for Development Cooperation,3.844257662422024e-06,9.443580211154767e-07,9.637641369408811e-07,0.010516839101910591,7.348677172558382e-06,1.3901241118219332e-06,0.06103122606873512,4.4348482333589345e-05,0.0025417699944227934,0.12422782927751541,0.17292113602161407,3.951505277655087e-06,0.18931856751441956,0.24560505151748657,0.16288702189922333,0.004985081497579813,9.367178677166521e-07,0.025901708751916885,14,Non-governmental organizations,Ms. Regnera Catharina van der Geest,Utrecht,Netherlands,Constituency - Environmental
568,International Accreditation Forum Inc.,0.00968504510819912,1.4508118511002976e-06,1.4806254284849274e-06,0.00010154933261219412,0.09974810481071472,2.1356397610361455e-06,0.04905238747596741,0.0512886717915535,0.006219345610588789,0.02268354408442974,0.2007669061422348,6.070675226510502e-06,0.22761236131191254,0.07310924679040909,0.09658884257078171,0.10506054013967514,1.4390743672265671e-06,0.05807090923190117,13,Non-governmental organizations,Ms. Ann Howard,Chelsea,Canada,Constituency - Business and Industry
569,International Actuarial Association,3.375335609234753e-06,8.291654012282379e-07,8.462043297186028e-07,5.99799350311514e-05,6.452286470448598e-06,1.220556896441849e-06,1.750258707033936e-05,3.8937461795285344e-05,0.24759675562381744,0.016969673335552216,0.01937774382531643,3.4695012800511904e-06,0.31826797127723694,0.09675640612840652,0.13779261708259583,0.049552999436855316,8.224571388382174e-07,0.11355236172676086,13,Non-governmental organizations,Mr. Sam Gutterman,Ottawa,Canada,Constituency - Research and independent
570,International Air Transport Association,2.2239273675950244e-05,5.463170964503661e-06,5.575436716753757e-06,0.2353373020887375,4.2512561776675284e-05,8.041955879889429e-06,0.00011531209020176902,0.1636285036802292,0.030959418043494225,0.03475587069988251,0.00012266510748304427,2.2859709133626893e-05,0.2860771417617798,0.1501220464706421,0.00044736251584254205,0.028251376003026962,5.418972250481602e-06,0.07007090747356415,13,Non-governmental organizations,Mr. Michel Adam,Montreal,Canada,Constituency - Business and Industry
571,International Alliance of Indigenous and Tribal Peoples of the Tropical Forests,1.2841804164054338e-05,3.1546433092444204e-06,3.2194698178500403e-06,0.00022828119108453393,2.4548375222366303e-05,4.6437321543635335e-06,0.08748630434274673,0.00014862610260024667,0.0025396537967026234,0.28637900948524475,0.028397727757692337,1.3200067769503221e-05,0.20938213169574738,0.09693516045808792,0.2473621815443039,0.04100773110985756,3.129121296296944e-06,6.847707845736295e-05,10,Non-governmental organizations,Mr. Estebancio Castro Diaz,Panama,Panama,Constituency - Indigenous peoples
572,International Association for the Advancement of Innovative Approaches to Global Challenges,6.139801371318754e-06,1.5082680420164252e-06,1.539262257210794e-06,0.00011214031837880611,0.03235606476664543,2.2202168565854663e-06,0.0005927897291257977,7.044804806355387e-05,0.060530971735715866,0.10026733577251434,3.3858126698760316e-05,6.311090601229807e-06,0.1285800337791443,0.20921705663204193,0.4108811914920807,0.057306189090013504,1.4960655789764132e-06,3.273892434663139e-05,15,Non-governmental organizations,Mr. Miroslav Polzer,Klagenfurt,Austria,Constituency - Youth
573,International Association of Oil and Gas Producers,1.4597774679714348e-05,3.586004822864197e-06,3.6596954942069715e-06,0.06842029839754105,2.790508369798772e-05,5.27870952282683e-06,7.569711306132376e-05,0.46900469064712524,0.0003141901397611946,0.00015108099614735693,0.007493021432310343,0.02236287295818329,0.08028846979141235,0.1280212253332138,0.002846788614988327,0.1457664668560028,3.5569928513723426e-06,0.07519655674695969,8,Non-governmental organizations,Mr. Daniel Walsh,London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry
574,International Association of Public Transport,5.3633634706784505e-06,1.317532792199927e-06,1.3446075399770052e-06,0.02947741560637951,0.038989707827568054,1.9394487935642246e-06,2.7809850507765077e-05,0.0637902095913887,0.01166671235114336,0.014120172709226608,2.957810283987783e-05,5.512991720024729e-06,0.24337616562843323,0.28001299500465393,0.09253275394439697,0.16463127732276917,1.3068735142951482e-06,0.06132844090461731,14,Non-governmental organizations,Mr. Philip Turner,Brussels,Belgium,Constituency - Local government and Municipal authorities
575,International Center for Agricultural Research in the Dry Areas,2.2923206415725872e-05,5.631181920762174e-06,5.7469001149002e-06,0.04618017002940178,4.381996768643148e-05,8.289272955153137e-06,0.27435773611068726,0.00026397869805805385,0.0005318905459716916,0.00023945038265082985,0.05288024619221687,2.3562723072245717e-05,0.2796690762042999,0.08861077576875687,0.07446540892124176,0.18256352841854095,5.585623966908315e-06,0.00012222363147884607,13,Intergovernmental organizations,Mr. Vinay Nangia,Beirut,Lebanon,
576,International Centre for Integrated Mountain Development,6.675707481917925e-06,1.639915581108653e-06,1.6736150882934453e-06,0.006533047184348106,1.2761272046191152e-05,2.4140063032973558e-06,0.020136060193181038,0.001260975725017488,0.0035663871094584465,0.06333670765161514,0.002747586462646723,6.861947440484073e-06,0.10111042857170105,0.40227624773979187,0.2524787187576294,0.1464846283197403,1.6266482134597027e-06,3.559327524271794e-05,14,Intergovernmental organizations,Mr. Udayan Mishra,Kathmandu,Nepal,
577,International Centre for Research in Agroforestry,0.001949154888279736,8.019584925023082e-07,8.184383659681771e-07,5.886537110200152e-05,6.240571565285791e-06,1.1805076383097912e-06,0.256405770778656,0.005763032007962465,0.006491255946457386,0.03846026211977005,0.09334152936935425,3.3556586913618958e-06,0.08304205536842346,0.07479981333017349,0.4301677346229553,0.009489892050623894,7.954703846735356e-07,1.740636616887059e-05,15,Intergovernmental organizations,Mr. Peter Minang,Nairobi,Kenya,
578,International Chamber of Commerce,2.9214104415586917e-06,7.17656803317368e-07,7.324043167500349e-07,0.35688531398773193,0.25693070888519287,1.056412884281599e-06,1.5147887097555213e-05,0.005917671602219343,0.007003334816545248,3.0253202567109838e-05,1.61105581355514e-05,0.0006638274644501507,0.01646413281559944,0.09555286914110184,0.0010632610647007823,0.23722173273563385,7.118507028280874e-07,0.022229529917240143,4,Non-governmental organizations,Ms. Majda Dabaghi,Paris,France,Constituency - Business and Industry
579,International Climate Dialogue e.V.,8.744052138354164e-06,2.1480132090800907e-06,2.1921539428149117e-06,0.0015655194874852896,1.67151174537139e-05,3.1619415494787972e-06,4.5337543269852176e-05,0.24856020510196686,0.0037131723947823048,0.003418436972424388,0.049664370715618134,8.987995897768997e-06,0.017374051734805107,0.16329845786094666,0.4654572308063507,0.025538409128785133,2.13063526643964e-06,0.02132074534893036,15,Non-governmental organizations,Mr. Björn Dransfeld,Hamburg,Germany,Constituency - Research and independent
580,International Coastal and Ocean Organization,6.674295491393423e-06,1.6395687225667643e-06,1.6732610674807802e-06,0.0276127178221941,1.2758573575410992e-05,2.4134956220223103e-06,0.0029214872047305107,0.006523589137941599,0.005777555517852306,0.05691329389810562,3.680926965898834e-05,6.860496341687394e-06,0.09632960706949234,0.5871406197547913,0.14809411764144897,0.055496200919151306,1.6263040834019193e-06,0.0131203792989254,14,Non-governmental organizations,Ms. Vanessa Knecht,Washington DC,United States of America,Constituency - Environmental
581,International Cocoa Organization,6.001213023409946e-06,1.4742232679054723e-06,1.5045178543005022e-06,0.00010777790157590061,1.1471910511318129e-05,2.17010210690205e-06,0.051509782671928406,0.1067114919424057,0.0001343152835033834,6.222454976523295e-05,0.3462143540382385,6.168635991343763e-06,0.2969866991043091,0.05273621529340744,0.04435550794005394,0.10111934691667557,1.4622963817600976e-06,3.203422966180369e-05,11,Intergovernmental organizations,Mr. Michele Nardella,Abidjan,Côte d'Ivoire,
582,"International Copper Association, Ltd.",7.356343849096447e-05,1.8071168597089127e-05,1.8442522559780627e-05,0.2410772442817688,0.00014062375703360885,2.6601315767038614e-05,0.0003814296214841306,0.3886427879333496,0.001524162944406271,0.05251887068152428,0.0004056173493154347,7.56157241994515e-05,0.0015513211255893111,0.005910780280828476,0.1874348521232605,0.11978982388973236,1.7924965504789725e-05,0.0003922624164260924,8,Non-governmental organizations,Mr. Steven Kukoda,New York,United States of America,Constituency - ENGO
583,International Council for Sustainable Energy,8.318127584061585e-06,2.0433831195987295e-06,2.085373580484884e-06,0.020437268540263176,1.5900921425782144e-05,3.00792271445971e-06,4.313397585065104e-05,0.3236030340194702,0.00019286671886220574,0.01345890760421753,0.004511247389018536,8.550188795197755e-06,0.04990697652101517,0.33671069145202637,0.23595601320266724,0.003948877099901438,2.0268514617782785e-06,0.01118910126388073,14,Non-governmental organizations,Ms. Laura Tierney,Washington DC,United States of America,Constituency - Business and Industry
584,International Council of Chemical Associations,5.8178111430606805e-06,1.4291697425505845e-06,1.4585385770260473e-06,0.00010070808639284223,0.0009466493502259254,2.1037819806224434e-06,3.0167491786414757e-05,0.07809299975633621,0.0009109072852879763,0.018948381766676903,0.0042713419534265995,5.980117748549674e-06,0.2093195766210556,0.20834878087043762,0.18823431432247162,0.01735621690750122,1.4176073364069453e-06,0.2734217047691345,18,Non-governmental organizations,Ms. Touria Lakchiri,Brussels,Belgium,Constituency - Business and Industry2
585,International Council on Clean Transportation Inc.,0.0008418357465416193,1.3194875236877124e-06,1.3466024029185064e-06,0.011360465548932552,1.0267808647768106e-05,1.9423262074269587e-06,0.0029829926788806915,0.42721742391586304,0.001815239666029811,0.0014770261477679014,0.017941195517778397,5.521170805877773e-06,0.1017063781619072,0.13051989674568176,0.27942702174186707,0.024660194292664528,1.3088124433124904e-06,2.863953704945743e-05,8,Non-governmental organizations,Ms. Amber Broha,Washington DC,United States of America,Constituency - Environmental
586,International Cryosphere Climate Initiative,4.644297405320685e-06,1.1408911859689397e-06,1.1643360267044045e-06,0.037692856043577194,8.878032531356439e-06,1.6794269868114498e-06,0.057349905371665955,0.04134495556354523,0.03849821537733078,0.005661936942487955,0.009237771853804588,4.7738649300299585e-06,0.021692031994462013,0.41825494170188904,0.3238016963005066,0.04641751945018768,1.1316610653011594e-06,2.4766668502707034e-05,14,Non-governmental organizations,Ms. Pamela Jean Pearson,Charlotte,United States of America,Constituency - Research and independent
587,International Dairy Federation,5.578517811954953e-05,1.3703863260161597e-05,1.3985471923660953e-05,0.004011015873402357,0.00010663886496331543,2.0172508811810985e-05,0.3044919967651367,0.02194109372794628,0.0710861012339592,0.08591675013303757,0.000307619571685791,0.00416006101295352,0.1506553441286087,0.28068944811820984,0.05021741986274719,0.026001833379268646,1.3592994946520776e-05,0.00029747808002866805,7,Non-governmental organizations,Ms. Caroline Emond,Brussels,Belgium,Constituency - Business and Industry
588,International Development Research Centre,1.2130059076298494e-05,2.9798000014125137e-06,3.0410335511987796e-06,0.02344028651714325,2.3187803890323266e-05,4.386357431940269e-06,6.289717566687614e-05,0.00013975455658510327,0.001017435104586184,0.00012585273361764848,0.03165712207555771,1.2468465683923569e-05,0.3160249888896942,0.22060999274253845,0.37138885259628296,0.035406988114118576,2.9556924800999695e-06,6.468060746556148e-05,15,Non-governmental organizations,Ms. Marie-Eve Landry,"Ottawa, ON",Canada,Constituency - Research and independent
589,International Emissions Trading Association,1.0169231245527044e-05,2.498114326954237e-06,2.549449618527433e-06,0.02188204415142536,1.9439487005001865e-05,3.6773012652702164e-06,5.272708949632943e-05,0.19643515348434448,0.00021605018991976976,0.0178836677223444,5.607729690382257e-05,1.0452934475324582e-05,0.09362778812646866,0.121544748544693,0.4532468318939209,0.016008514910936356,2.4779037630651146e-06,0.07899510860443115,15,Non-governmental organizations,Ms. Stephanie Olegario,Geneva,Switzerland,Constituency - Business and Industry
590,International Energy Agency,3.016474920514156e-06,7.410097850879538e-07,7.562371706626436e-07,0.10513279587030411,5.766289177699946e-06,1.090789169211348e-06,1.5640503988834098e-05,0.5353708863258362,6.422244041459635e-05,3.117302912869491e-05,0.09098607301712036,3.1006291010271525e-06,0.003784909611567855,0.04340353608131409,0.1114756390452385,0.10970384627580643,7.350147370743798e-07,1.6083811715361662e-05,8,Intergovernmental organizations,Ms. Jinsun Lim,Paris,France,
591,International Environment and Economy Institute,0.02420686185359955,1.149969762082037e-06,1.173601162918203e-06,0.025828588753938675,8.948678441811353e-06,1.6927908745856257e-06,0.006017634645104408,0.06005459651350975,0.0024024653248488903,0.01099795289337635,0.06882689893245697,4.81185270473361e-06,0.07572323828935623,0.3261016309261322,0.3875381350517273,0.004158568102866411,1.1406661997170886e-06,0.00812450610101223,15,Non-governmental organizations,Ms. Sumiko Takeuchi,Tokyo,Japan,Constituency - Business and Industry2
592,International Environmental Communication Association,7.498568265873473e-06,1.8420548713038443e-06,1.8799081544784713e-06,0.017452295869588852,1.433425222785445e-05,2.7115613647765713e-06,3.88821899832692e-05,0.009165052324533463,0.09796828776597977,0.033565882593393326,4.134754999540746e-05,7.707764780207071e-06,0.16533996164798737,0.5797068476676941,0.0689428374171257,0.027700835838913918,1.8271520048074308e-06,3.9982838643481955e-05,14,Non-governmental organizations,Mr. Mark S. Meisner,Cincinnati,United States of America,Constituency - Research and independent
593,International Federation of Industrial Energy Consumers,5.17043781655957e-06,1.2701398190984037e-06,1.2962406117367209e-06,9.336708899354562e-05,9.88380179478554e-06,1.869684865596355e-06,2.6809528208104894e-05,0.4783855676651001,0.0249404925853014,0.0019870002288371325,2.851319732144475e-05,0.0018413765355944633,0.20622141659259796,0.02601434290409088,0.10503427684307098,0.07405812293291092,1.25986400689726e-06,0.08134796470403671,8,Non-governmental organizations,Mr. Paul Cicio,Basel,Switzerland,Constituency - Business and Industry
594,International Federation of Liberal Youth,0.003667759709060192,1.8876396552514052e-06,1.926429831655696e-06,0.0017195187974721193,1.4688977898913436e-05,2.7786636564997025e-06,3.9844540879130363e-05,8.82512322277762e-05,0.02712428942322731,0.06180473417043686,0.05848537012934685,7.898506737546995e-06,0.7474685907363892,0.0377877801656723,0.00016802985919639468,0.06157384067773819,1.8723679886534228e-06,4.097220880794339e-05,13,Non-governmental organizations,Mr. Sven Gerst,London,United Kingdom of Great Britain and Northern Ireland,Constituency - Youth
595,International Federation of Medical Students’ Associations,1.5701185475336388e-05,3.857062438328285e-06,3.936323082598392e-06,0.0002769499260466546,3.0014363801456057e-05,5.677714398188982e-06,8.141708531184122e-05,0.00018050000653602183,0.1737930327653885,0.08687419444322586,0.01571696624159813,1.6139219951583073e-05,0.4920085370540619,0.12367511540651321,0.0015678629279136658,0.10566253215074539,3.825857675110456e-06,8.371767034986988e-05,13,Non-governmental organizations,Mr. Skander Essafi,Amsterdam,Netherlands,Constituency - Youth
596,International Federation of Organic Agriculture Movements,5.019314357923577e-06,1.2330157233009231e-06,1.2583535635712906e-06,0.12348350882530212,9.594914445187896e-06,1.8150370806324645e-06,0.18559901416301727,5.8008208725368604e-05,0.004842843394726515,5.210351446294226e-05,0.017639221623539925,5.159344254934695e-06,0.24503566324710846,0.13693955540657043,0.10547318309545517,0.18082483112812042,1.22304027172504e-06,2.6762701963889413e-05,13,Non-governmental organizations,Mr. Gabor Figeczky,Bonn,Germany,Constituency - Farmers
