Official Name,City,Country,Constituency,Phone,Fax,Email,Coordinator
Institut Océanographique Paul Ricard (IOPR),Six-Fours-les-Plages,France,Constituency - Research and independent,+33494340249,,embiez@institut-paul-ricard.org,Mme Claire Bertin
Institut Polytechnique de Grenoble (Grenoble INP),Grenoble,France,Constituency - Local government and Municipal authorities,+33476574500,+33476574501,presidence@grenoble-inp.fr,Mme Anne-Catherine Favre
Institut Veolia,Aubervilliers,France,Constituency - Environmental,+33 6 1982 6491,,institut.ve@veolia.co,Mme Lorraine de Jerphanion
Institute ECOAR for Citizenship (ECOAR),Sao Paulo,Brazil,Constituency - Environmental,(55-11) 3129-5765,(55-11) 3129-5765,ecoar@ecoar.org.br,Ms. Miriam Duailibi
Institute for Advanced Sustainability Studies (IASS),Potsdam,Germany,Constituency - Research and independent,(49 331) 288 22300,(49 331) 288 2210,kathleen.mar@iass-potsdam.de,Ms. Kathleen Anne Mar
Institute for Agricultural and Forest Management and Certification (Imaflora),Piracicaba,Brazil,Constituency - Environmental,(55-19) 3429-0800,(55-19) 3429-0809,imaflora@imaflora.org,Ms. Marina Piatto
Institute for Agriculture and Trade Policy (IATP),Minneapolis,United States of America,Constituency - Environmental,(1-612) 870-0453,,ssharma@iatp.org,Ms. Shefali Sharma
Institute for Biodiversity Network e.V. (ibn),Regensburg,Germany,Constituency - Environmental,+49 941 38132462,+49 941 38132465,info@biodiv.de,Mr. Axel Paulsch
Institute for Climate and Sustainable Cities (iCSC). (ICSC),Quezon City,Philippines,Constituency - Research and independent,(+632) 7091258,(+632) 7091258,info@icsc.ngo,Mr. Angelo Kairos Dela Cruz
"Institute for Climate Protection, Energy and Mobility - Law, Economics and Policy e.V. (IKEM)",Berlin,Germany,Constituency - Research and independent,+4930408187010,+4930408187029,info@ikem.de,Ms. Kathryn Margaret McKenzie
Institute for Conflict Transformation and Peacebuilding (ICP),Bern,Switzerland,Constituency - Business and Industry,(41) 313113060,,info@institute-icp.ch,Mr. Tanja Mirabile
Institute for Conservation and Sustainable Development of Amazonas (IDESAM),Manaus,Brazil,Constituency - Environmental,(55-92) 3642-5698,(55-92) 3642-5698,idesam@idesam.org.br,Ms. Fernanda Peixoto Barbosa
"Institute for Energy and Climate Strategies, Inc. (IECS)",Brooklyn,United States of America,Constituency - Environmental,+19175488841,,dmc@iecs.org,Mr. Dennis Clare
Institute for Energy Technology (IFE),Kjeller,Norway,Constituency - Research and independent,(47)6380-6000,(47)6381-2905,thomas.martinsen@ife.no,Mr. Thomas Martinsen
Institute for Environment and Development Sustainability (IEDS),Dar Es Salaam,United Republic of Tanzania,Constituency - Environmental,+255 767322971,,info@ieds.or.tz,Ms. Abela Gloria Mutabiilwa
Institute for Environmental Security (IES),The Hague,Netherlands,Constituency - Environmental,(31-70)365-2299,(31-70)365-1948,rkingham@envirosecurity.org,Mr. Ronald Kingham
Institute for European Environmental Policy (IEEP),Brussels,Belgium,Constituency - Environmental CAN,003227387481,003227324004,izafrullah@ieep.eu,Ms. Irene Zafrullah
Institute for Global Environmental Strategies (IGES),Kanagawa,Japan,Constituency - Research and independent,(81-46) 855-3700,(81-46) 855-3809,ce-info@iges.or.jp,Mr. Kentaro Tamura
Institute for Governance and Sustainable Development (IGSD),Washington,United States of America,Constituency - Environmental,(1-202) 338-1300,(1-202) 338-1310,tthorbjornsen@igsd.org,Ms. Trina Chiemi Thorbjornsen
Institute for Policy Studies (IPS),Washington,United States of America,Constituency - Environmental CAN,(1-202) 234-9382,(1-202) 387-7915,oscar@ips-dc.org,Mr. Oscar Reyes
Institute for Public Policy Research (IPPR),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,+44(0)2074706100,(44-20) 7470-6121,l.murphy@ippr.org,Mr. Luke Murphy
Institute for Resource and Security Studies (IRSS),Cambridge,United States of America,Constituency - Environmental,(1-617)491-5177,(1-617)491-6904,irss@igc.apc.org,Mr. Gordon Thompson
Institute for Social and Environmental Transition (ISET),Boulder,United States of America,Constituency - Research and independent,(1-720) 564-0650,(1-720) 564-0653,ken@i-s-e-t.org,Mr. Kenneth MacClune
Institute for Solid Waste Research and Ecological Balance (INSWAREB),Visakhapatnam,India,Constituency - Environmental,(91-891)251-6411,(91-891)251-7429,inswareb@md3.vsnl.net.in,Mr. Kalidas Nateri
"Institute for Sustainable Development and Research (ISDR,India)",Mumbai,India,Constituency - Environmental,24968682,,clkp123@yahoo.com,Ms. Kalpana Chaudhari
Institute for Sustainable Energy Policies (ISEP),Tokyo,Japan,Constituency - Environmental CAN,(81-3) 5318-3331,(81-3) 3319-0330,tetsu@isep.or.jp,Mr. Tetsunari Iida
"Institute for Technological Advancement, Inc. (ITA)",Arlington,United States of America,Constituency - Business and Industry,(1-703)841-9000,(1-703)841-9514,tduesterberg@mapi.net,Mr. Thomas Duesterberg
Institute for Transportation and Development Policy (ITDP),New York,United States of America,Constituency - Research and independent,(1-212) 629-8001,(1-646) 380-2360,mobility@itdp.org,Mr. Ramon Javier Cruz-Diaz
Institute of Certified Carbon Analysts and Auditors (ICCAA),Clayton,Australia,Constituency - Research and independent,+61 3 85550358,+61 3 85550387,administrator@carbonanalyst.org,Mr. Janek Tissa Ratnatunga
Institute of Development Studies (IDS),Brighton,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent,(44-1273) 60-6261,(44-1273) 62-1202,climatechange@ids.ac.uk,Ms. Rosalind Price
Institute of Electrical and Electronics Engineers (IEEE),New Jersey,United States of America,Constituency - ENGO,(1-732)981-0060,(1-732)981-0027,services@ieee.org,Ms. Karen McCabe
"Institute of Energy Economics, Japan (IEEJ)",Tokyo,Japan,Constituency - ENGO,(81-3) 5547-0222,(81-3) 5547-0223,tagami@tky.ieej.or.jp,Mr. Takahiko Tagami
"Institute of Environment and Sustainable Development in Agriculture, Chinese Academy of Agricultural Science (IESEA CAAS)",Beijing,China,Constituency - Environmental,(86-10) 8210-5985,(86-10) 8210-5985,liyingchun@caas.cn,Ms. Yingchun Li
Institute of Environmental Management (IEM),Palo Alto,United States of America,Constituency - ENGO,(1-650)856-2850,(1-650)856-2850,iemdon@aol.com,Mr. Don Augenstein
Institute Research for the Upliftment and Prevention of Poverty (Nova Institute),Pretoria,South Africa,Constituency - Research and independent,(27-12) 807-7994,(27-86) 538-7958,novainstitute@telkomsa.net,Ms. Suzette Lategan
Institution for Transport Policy Studies (ITPS),Tokyo,Japan,Constituency - Research and independent,(81-3)5470-8420,(81-3)5470-8421,omoto@jterc.or.jp,Mr. Kazuhiko Omoto
Institutional Investors Group on Climate Change Ltd. (IIGCC),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry,(44) 207 520 9302,,info@iigc.org,Ms. Evagelia Emelia Holdaway
Instituto Argentino de Normalización y Certificación (IRAM),Buenos Aires,Argentina,Constituency - Business and Industry,(54-11-4)381-9754/9785,(54-11-4)344-6623,iram@iram.org.ar / eaadas@sminter.com.ar / iram4@sminter.com.ar,
Instituto de Derecho Ambiental (IDEA),Asuncion,Paraguay,Constituency - Environmental,(595-21) 66-2543,(595-21) 61-4619,idea@idea.org.py,Ms. Patricia Abed
Instituto de Desarrollo y Medio Ambiente (IDMA),Lima,Peru,Constituency - Environmental,(51 1) 260 9696,(51 1) 260 9675,gabriel.mejia@idmaperu.org,Mr. Gabriel Peregrin Mejia Duclos
Instituto de Ecología y Antropología de Acción (INFOE),Cologne,Germany,Constituency - Environmental,(49-221) 739-2871,(49-221) 922-9760,vorstand@infoe.de,Ms. Elke Falley-Rothkopf
Instituto de Pesquisas Ecológicas (IPÊ),"Nazaré Paulista, SP",Brazil,Constituency - Environmental,(55-11) 9998 11289,(55-11) 359 00041,eduditt@ipe.org.br,Mr. Eduardo Humberto Ditt
Instituto Ecoplan,General Carneiro,Brazil,Constituency - Environmental,(55-41)339-1100,(55-41)339-2277,ecoclima@ecoclima.org.br,Mr. Marcelo Dias Jordan
Instituto Educacional Franklin Delano Roosevelt (IEFDR),Lima,Peru,Constituency - Youth,(511) 435 0890,(511) 619 9301,fdr@amersol.edu.pe,Ms. Allana Rumble
Instituto Ethos de Empresas e Responsabilidade Social (Ethos),Sao Paulo,Brazil,Constituency - ENGO,+55 11 3897-2400,+55 11 3897-2424,atendimento@ethos.org.br,Ms. Flavia Anguiano Resende
Instituto Global Attitude (IGA),São Paulo,Brazil,Constituency - Youth,+ 55 11 3957-0488,,rodrigo@globalattitude.org.br,Mr. Rodrigo Reis
Instituto Internacional de Derecho y Medio Ambiente/International Institute for Law and the Environment (IIDMA),Madrid,Spain,Constituency - Environmental,913086846,913914073,iidma@iidma.org,Mr. Gopal Shilpakar
Instituto LIFE,Curitiba,Brazil,Constituency - Environmental,,,cecibrosig@gmail.com,Ms. Cecilia Brosig
Instituto Torcuato Di Tella (ITDT),Buenos Aires,Argentina,Constituency - Research and independent,(54-11)4348-8315,(54-11)4784-0080,dp@itdt.edu,Sr. Daniel Perczyk
Integrated Regional Support Program (IRSP),Mardan,Pakistan,Constituency - Environmental,+92937880283,+92937880284,saif@irsp.org.pk,Mr. Saif Ullah
Integrated Sustainable Energy and Ecological Development Association (INSEDA),New Delhi,India,Constituency - Environmental,+91-11-2554-4038,+91-11-2550-4533,ray.myles06@gmail.com,Mr. Raymond Myles
"Intelligentsia International, Inc.",LaBelle,United States of America,Constituency - Youth,,,fidler@intelligentsia-international.org,Mr. Michal Fidler
Interchurch Organization for Development Cooperation (ICCO),Utrecht,Netherlands,Constituency - Environmental,(32-30) 692-7811,(31-30) 692-5614,info@icco.nl,Ms. Regnera Catharina van der Geest
InterEnvironment Institute (IE),Sacramento,United States of America,Constituency - Environmental,(1-916) 448-7387,,info@InterEnvironment.org,Mr. Thaddeus Trzyna
Interface for Cycling Expertise Foundation (I-CE),Utrecht,Netherlands,Constituency - Research and independent,(31-30) 230-4521,(31-30) 231-2384,i-ce@cycling.nl,Mr. Mark Kirkels
International Academy of Technological Sciences (IATS),Moscow,Russian Federation,Constituency - Business and Industry,(7-495)236-4425/959-8637,(7-495)959-9381,technol@gazprom.ru,Mr. Viktor Porvatov
International Accreditation Forum Inc. (IAF),Chelsea,Canada,Constituency - Business and Industry,,,secretary@iaf.nu,Ms. Ann Howard
International Actuarial Association (IAA),Ottawa,Canada,Constituency - Research and independent,+1-613-236-0886,+1-613-236-1386,carla.melvin@actuaries.org,Mr. Sam Gutterman
"International Advertising Association, Inc (IAA)",New York,United States of America,Constituency - Business and Industry,(1-212) 557-1133,(1-212) 983-0455,michael.lee@iaaglobal.org,Mr. Michael Lee
International Air Transport Association (IATA),Montreal,Canada,Constituency - Business and Industry,(1-514) 874-0202,(1-514) 874-9632,adamm@iata.org,Mr. Michel Adam
International Alert,London,United Kingdom of Great Britain and Northern Ireland,Constituency - ENGO,(44-20) 7627-6800,(44-20) 7627-6900,general@international-alert.org,Mr. Dan Smith
International Alliance of Indigenous and Tribal Peoples of the Tropical Forests (IAITPTF),Panama,Panama,Constituency - Indigenous peoples,(507) 345-0216,(507) 345-0217,its@international-alliance.org,Mr. Estebancio Castro Diaz
International Aluminium Institute (IAI),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry,(44-20) 7930-0528,,info@international-aluminium.org,Ms. Sarah Novell
International Association for Impact Assessment (IAIA),"Fargo, ND",United States of America,Constituency - Environmental,(1-701)297-7908,(1-701)297-7917,david@iaia.org,Mr. David Bruce Bancroft
International Association for Natural Gas Vehicles (IANGV),Auckland,New Zealand,Constituency - ENGO,(64-9) 523-3567,(64-9) 520-3122,admin@iangv.org,Mr. Brett Jarman
International Association for the Advancement of Innovative Approaches to Global Challenges (IAAI),Klagenfurt,Austria,Constituency - Youth,+436644203648,,office@glocha.info,Mr. Miroslav Polzer
International Association for the Protection of the Intellectual Property (AIPPI),Zurich,Switzerland,Constituency - ENGO,(44) 280 58 80,(44) 280 58 85,f.claro@aippi.org,Ms. Fabienne Martin
International Association of Oil and Gas Producers (IOGP),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry,07734488672,7734488672,dw@iogp.org,Mr. Daniel Walsh
International Association of Public Transport (UITP),Brussels,Belgium,Constituency - Local government and Municipal authorities,(32-2) 673-6100,(32-2) 660-1072,admin@uitp.com,Mr. Philip Turner
International Association of Schools of Social Work (IASSW),Hong Kong,China,Constituency - Research and independent,(852) 2766-5718,(852) 2773-6546,angie.iassw@polyu.edu.hk,Ms. Lena Dominelli
International Association of Students in Agricultural and Related Sciences (IAAS),Heverlee-Leuven,Belgium,Constituency - Youth,(32) 16 321 736,,president@iaasworld.org,Mr. Omar Farhate
International Biochar Initiative (IBI),Westerville,United States of America,Constituency - Business and Industry,(1-614) 571-0000,(1-888) 291-6443,info@biochar-international.org,Mr. Johannes Lehmann
International Business Leaders Forum (IBLF),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry,(44-207) 467-3600,(44-207) 467-3610,info@iblf.org,Mr. Stephen Kenzie
International Carbon Investors and Services (INCIS),Amsterdam,Netherlands,Constituency - Business and Industry,(44-20) 7939-5208,(44-20) 7939-5034,khampton@ciff.org,Ms. Kate Hampton
International Center for Environmental Technology Transfer (ICETT),Yokkaichi,Japan,Constituency - Environmental,(81-59) 329-3500,(81-59) 329-8115,webmaster@icett.or.jp,Mr. Taiki Kuroda
International Center for Living Aquatic Resources Management (WorldFish),Penang,Malaysia,Constituency - ENGO,(60-4) 626-1606,(60-4) 626-5530,worldfishcenter@cgiar.org,Mr. Essam Yassin Mohammed
International Centre for Enviornmental Education and Community Development (ICENECDEV),Buea,Cameroon,Constituency - Environmental,+23774033583,,icenecdev2006@yahoo.com,Mr. Fongoh Eric
International Chamber of Commerce (ICC),Paris,France,Constituency - Business and Industry,(33-1) 4953-2828,(33-1) 4953-2942,icc@iccwbo.org,Ms. Majda Dabaghi
International Chamber of Shipping (ICS),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry,(44-207) 090-1460,(44-207) 090-1484,simon.bennett@ics-shipping.org,Mr. Simon Bennett
International Climate Change Partnership (ICCP),Arlington,United States of America,Constituency - Environmental,(1-703) 841-0626,(1-703) 243-2874,iccp@alcalde-fay.com,Mr. Kevin Fay
International Climate Dialogue e.V. (ICD),Hamburg,Germany,Constituency - Research and independent,,,chair@international-climate-dialogue.net,Mr. Björn Dransfeld
International Climbing and Mountaineering Federation (UIAA),Bern,Switzerland,Constituency - Environmental,+41313701828,,office@theuiaa.org,Ms. Stephanie Valdes Stettbacher
International Coastal and Ocean Organization (ICO),Washington DC,United States of America,Constituency - Environmental,+1-202 329 4127,,bilianacicin-sain@globaloceans.org,Ms. Vanessa Knecht
International Commission on Large Dams (ICOLD),Paris,France,Constituency - Business and Industry,(33-1) 4042-6824,(33-1) 4042-6071,lluis.berga@upc.edu,Mr. Luis Berga
International Conservation and Education Fund (INCEF),Washington,United States of America,Constituency - Environmental,(1-202) 548-0115,(1-202) 548-0115,david@incef.org,Mr. David Weiner
International Cooperative Alliance (ICA),Brussels,Belgium,Constituency - Business and Industry2,+32 (2) 743 10 30,,ica@ica.coop,Mr. Rodrigo Gouveia
"International Copper Association, Ltd. (ICA)",New York,United States of America,Constituency - ENGO,(1-212) 251-7240,(1-212) 251-7238,steven.kukoda@coppperalliance.org,Mr. Steven Kukoda
International Council for Capital Formation (ICCF),Brussels,Belgium,Constituency - Research and independent,(32-2)401-6844,(32-3)401-6868,info@iccfglobal.org,Ms. Margo Thorning
International Council for Adult Education (ICAE),Montevideo,Uruguay,Constituency - Women and Gender,(598-2) 409-7982,(598-2) 409-7982,secretariat@icae.org.uy,Ms. Marcela Hernández
International Council for Mining and Metals (ICMM),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry,(44-20) 7467-5070,(44-20) 7467-5071,info@icmm.com,Ms. Meera Thankey
International Council for Sustainable Energy (ICSE),Washington DC,United States of America,Constituency - Business and Industry,+1 202 785 0507,+1 202 785 0514,bcse@bcse.org,Ms. Laura Tierney
International Council of Chemical Associations (ICCA),Brussels,Belgium,Constituency - Business and Industry2,+32 2 676 7415,,rba@cefic.be,Ms. Touria Lakchiri
International Council of Environmental Law (ICEL),Madrid,Spain,Constituency - Environmental,(91) 624 9839,,icel.international@gmail.com,Mr. Victor Tafur Dominguez
International Council of Women (ICW-CIF),Paris,France,Constituency - Environmental,(33-1)4742-1940,(33-1)4266-2623,icw-cif@wanadoo.fr,Ms. Radosveta Bruzaud
International Council on Clean Transportation Inc. (ICCT),Washington DC,United States of America,Constituency - Environmental,202-534-1600,,amber.broha@theicct.org,Ms. Amber Broha
International Council on Human Rights Policy (ICHRP),Versoix,Switzerland,Constituency - Research and independent,(41-22) 775-3300,(41-22) 775-3303,archer@ichrp.org,Mr. Robert Henry Archer
International Court for the Environment Coalition (ICE Coalition),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,+44 20 7797 8400,,info@icecoalition.org,Mr. Stephen Alexander Hockman
International Cryosphere Climate Initiative (ICCI),Charlotte,United States of America,Constituency - Research and independent,+1 802 488 0991,+1 802 425 2357,pampearson44@yahoo.com,Ms. Pamela Jean Pearson
International Dairy Federation (IDF),Brussels,Belgium,Constituency - Business and Industry,(32-2) 3256 740,(32-2) 3256 741,cemond@fil-idf.org,Ms. Caroline Emond
International development enterprises (iDE),Denver,United States of America,Constituency - Farmers,+1 (720) 924-1227,,info@ideglobal.org,Ms. Chiara Ambrosino
International Development Research Centre (IDRC),"Ottawa, ON",Canada,Constituency - Research and independent,(1-613)236-6163,(1-613)238-7230,info@idrc.ca,Ms. Marie-Eve Landry
International Emissions Trading Association (IETA),Geneva,Switzerland,Constituency - Business and Industry,(41-22) 737-0500,(41-22) 737-0508,info@ieta.org,Ms. Stephanie Olegario
International Environment and Economy Institute (IEEI),Tokyo,Japan,Constituency - Business and Industry2,,,ieei2010@yahoo.co.jp,Ms. Sumiko Takeuchi
International Environmental Communication Association (IECA),Cincinnati,United States of America,Constituency - Research and independent,(1 - 513) 620 4322,,un1@theieca.org,Mr. Mark S. Meisner
International Environmental Law Research Centre (IELRC),Cartigny-Geneva,Switzerland,Constituency - Research and independent,(41-22)756 1142,(41-22)797-2623,ielrc.ielrc@gmail.com,Mr. Philippe H. Cullet
"International Family Forestry Alliance, Inc. (IFFA)",Bruxelles,Belgium,Constituency - Business and Industry2,+4790036471,,post@familyforestry.net,Mr. Ivar Legallais-Korsbakken
International Federation for Housing and Planning (IFHP),Copenhagen,Denmark,Constituency - ENGO,+4530569686,,info@ifhp.org,Ms. Regitze Hess
International Federation of Automotive Engineering Societies (FISITA),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry,(44-20) 7299-6630,(44-20) 7299-6633,i.dickie@fisita.com,Mr. Ian Dickie
"International Federation of Chemical, Energy, Mine and General Workers' Unions (ICEM)",Geneva,Switzerland,Constituency - Trade Unions,(41-22) 308-5050,(41-22) 308-5055,info@industriall-union.org,Mr. Brian Kohler
International Federation of Industrial Energy Consumers (IFIEC World),Basel,Switzerland,Constituency - Business and Industry,+32 2 888 5269,,pcicio@ieca-us.org,Mr. Paul Cicio
International Federation of Institutes for Advanced Study (IFIAS),Toronto,Canada,Constituency - ENGO,(1-416)926-7570,(1-416)926-9481,,
International Federation of Liberal Youth (IFLRY),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Youth,(44-203) 239-6840,,office@iflry.org,Mr. Sven Gerst
International Federation of Medical Students' Associations (IFMSA),Amsterdam,Netherlands,Constituency - Youth,(31-20) 566-8823,,gs@ifmsa.org,Mr. Skander Essafi
International Federation of Organic Agriculture Movements (IFOAM),Bonn,Germany,Constituency - Farmers,(49-228) 926-5010,(49-228) 926-5099,info@ifoam.org,Mr. Gabor Figeczky
International Fertilizer Association (IFA),Paris,France,Constituency - Business and Industry,(33-1) 5393-0500,(33-1) 5393-0545,ifa@fertilizer.org,Ms. Margot Rose Clifford
International Food and Agricultural Trade Policy Council (IPC),Washington,United States of America,Constituency - ENGO,(1-202) 328-5056,(1-202) 328-5133,hebebrand@agritrade.org,Ms. Charlotte Caroline Hebebrand
International Food Policy Research Institute (IFPRI),Washington,United States of America,Constituency - Farmers,001-202-862-5600,001-202-862-5606,ifpri@cgiar.org,Ms. Liangzhi You
International Forestry Students' Association (IFSA),Freiburg,Germany,Constituency - Youth,(49-761) 203-3801,(49-761) 203-3819,secretariat@ifsa.net,Ms. Aditi Mishra
International Forum on Globalization Inc. (IFG),San Francisco,United States of America,Constituency - Environmental CJN,(1-415) 351-8065,(1-415) 561-7651,vmenotti@ifg.org,Mr. Victor Menotti
International Foundation for African Children (IFAC),Lagos,Nigeria,Constituency - Youth,(234-1) 811-2119,(44-20) 7900-2982,africanchildren@hotmail.com,Mr. Michael Ikechukwu Nwafejoku
International Fund for Animal Welfare Inc. (IFAW),Yarmouth Port,United States of America,Constituency - Environmental CAN,+1 508 744 2000,+1 508 744 2089,info@ifaw.org,Mr. Matthew Collis
International Gas Union (IGU),Barcelona,Spain,Constituency - Business and Industry,(34-93) 412-9789,(34-93) 402-5426,secretariat@igu-gasnatural.com,Mr. Luis Calvo
International Hydropower Association (IHA),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry,(44-20) 8625-5290,(44-20) 8643-5600,iha@hydropower.org,Mr. Richard M. Taylor
International Indian Treaty Council (IITC),San Francisco,United States of America,Constituency - Indigenous peoples,(1-415) 641-4482,(1-415) 641-1298,alberto@treatycouncil.org,Mr. Alberto Saldamando
International Institute for Applied Systems Analysis (IIASA),Laxenburg,Austria,Constituency - Research and independent,(43-2236) 80-8070,(43-2236) 713 13,externalrelations@iiasa.ac.at,Mr. Iain Stewart
International Institute for Energy Conservation (IIEC),Washington,United States of America,Constituency - ENGO,(1-202) 785-6420,(1-202) 833-2627,iiecdc@iiec.org,
International Institute for Energy Conservation - Europe (IIEC-Europe),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,(44-207)237-6523,(44-207)237-2462,iieclondon@iiec.cerf.org,Mr. Ian Househam
International Institute for Environment and Development (IIED),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent,(44-207) 388-2117,(44-207) 388-2826,info@iied.org,Ms. Marika Hannah Weinhardt
International Institute for Strategic Studies (IISS),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent,(44-20) 7379-7676,(44-20) 7836-3108,holland@iiss.org,Mr. Andrew Holland
International Institute for Sustainable Development (IISD),Winnipeg,Canada,Constituency - Research and independent,(1-204) 958-7700,,info@iisd.org,Mr. Cameron Stuart Hunter
International Institute of Geo-Information Science and Earth Observation (ITC),Enschede,Netherlands,Constituency - Research and independent,(31-53) 487-4444,(31-53) 487-4400,pr@itc.nl,Mr. Sjaak Beerens
International Intellectual Property Institute (IIPI),Washington,United States of America,Constituency - Research and independent,(1-202) 544-6610,(1-202) 478-1955,contact@iipi.org,Mr. Andrew Craig Jaynes
International Lake Environment Committee Foundation (ILEC),Kusatsu-shi,Japan,Constituency - ENGO,(81-77)568-4567,(81-77)568-4568,info@mail.ilec.or.jp,
International Law Institute (ILI),Washington,United States of America,Constituency - ENGO,(1-202) 247-6006,(1-202) 247-6010,cverrill@ili.org,"Mr. Charles Owen Verrill, Jr."
International Maritime Emission Reduction Scheme (IMERS),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent,(44-20) 8776-6211,(44-20) 8776-6212,info@imers.org,Mr. Andrzej Stochniol
International National Trusts Organisation (INTO),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,(44-20) 7799-4578,(44-20) 7222-5097,catherine.leonard@nationaltrust.org.uk,Ms. Catherine Leonard
International Network for Environmental Management (INEM),Hamburg,Germany,Constituency - ENGO,(49-40)4907-1600,(49-40)4907-1601,office@inem.org,Mr. Georg Winter
International Network for Sustainable Energy (INFORSE),Hjortshoj,Denmark,Constituency - Environmental,(45)8622-7000,(45)8622-7096,inforse@gmail.com,Mr. Gunnar Boye Olesen
International Network of Basin Organizations (INBO),Paris,France,Constituency - Environmental,+33144908860,+33140080145,inbo@inbo-news.org,Mr. Edouard Boinet
International Network of Women Engineers and Scientists (INWES),Ottawa ON K1S 5B6,Canada,Constituency - Women and Gender,6046575299,,info@inwes.org,Ms. Amelia Trachsel
International Organisation of Supreme Audit Institutions (INTOSAI),Vienna,Austria,Constituency - Research and independent,(43-1) 7-1171-8011,(43-1) 718-0969,riigikontroll@riigikontroll.ee,Mr. Mihkel Oviir
International Organization for Standardization (ISO),Vernier,Switzerland,Constituency - Business and Industry,(41-22) 749-0111,(41-22) 733-3430,central@iso.org,Mr. José Ignacio Alcorta
International Organization of Employers (IOE),Geneva,Switzerland,Constituency - Business and Industry,(41-22) 929-000,(41-22) 929-001,ioe@ioe-emp.org,Mr. Pierre Vincensini
International Peace Research Association (IPRA),Yellow Springs,United States of America,Constituency - ENGO,(1-513) 767-6444,(1-513) 767-6470,humanities@otago.ac.nz,
International Peatland Society (IPS),Jyväskylä,Finland,Constituency - Environmental,(35) 8404184075,,ips@peatlands.org,Ms. Susann Warnecke
International Planned Parenthood Federation (IPPF),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Women and Gender,(44-20) 7939-8200,(44-20) 7939-8300,info@ippf.org,Ms. Raffaela Dattler
International Plant Genetic Resources Institute (Bioversity),Maccarese (Fiumicino),Italy,Constituency - Research and independent,(39-06) 61181,(39-06) 6197-9661,bioversity@cgiar.org,Ms. Helen Thompson
International Polar Foundation (IPF),Brussels,Belgium,Constituency - Research and independent,(32-2)543-0698,(32-2)543-0699,info@polarfoundation.org,Ms. Nighat Johnson-Amin
International Policy Network (IPN),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,(44-20) 3393-8410,(44-20) 3393-8411,kokonski@policynetwork.net,Ms. Kendra Okonski
International Project for Sustainable Energy Paths (IPSEP),El Cerrito,United States of America,Constituency - ENGO,(1-510)525-7530,(1-510)525-4446,ipsep@igc.apc.org,Mr. Florentin Krause
International Risk Governance Council (IRGC),Geneva,Switzerland,Constituency - Research and independent,(41-22) 795-1730,(41-22) 795-1739,info@irgc.org,Ms. Diane Boulay
International Rivers Network (IRN),Berkeley,United States of America,Constituency - ENGO,(1-510) 848-1155,,contact@internationalrivers.org,Mr. Joshua Klemm
International Road Federation (IRF),Vernier/Geneva,Switzerland,Constituency - Business and Industry,(41-22) 306-0260,(41-22) 306-0270,scostamarini@irfnet.org,Ms. Sandra Costa-Marini
International Science Council (ISC),Paris,France,Constituency - Environmental,(33-1) 4525-0329,(33-1) 4288-9431,secretariat@council.science,Ms. Katsiaryna Paulavets
International Society for Ecological Economics (ISEE),Boston,United States of America,Constituency - Environmental,+1 617 777 3477,+1 617 523 0096,is.eco.eco@gmail.com,Ms. Heidi Brault
International Society of Biometeorology (ISB),Santander,Spain,Constituency - Environmental,(34) 942206743,(34) 942201870,pablo.fdezarroyabe@unican.es,Sr. Pablo Fernandez de Arroyabe
International Society of City and Regional Planners (ISOCARP),The Hague,Netherlands,Constituency - Research and independent,+31 703462654,,isocarp@isocarp.org,Mr. Frank D'hondt
International Society of Doctors for the Environment (ISDE),Basel,Switzerland,Constituency - ENGO,,(41-61)3838 049,info@isde.org,Ms. Cathey Eisner Falvo
International Society of Tropical Foresters (ISTF),"Bethesda, Maryland",United States of America,Constituency - Environmental,+1 301 530 4514,+1 301 897 3690,istf.bethesda@verizon.net,Mr. Gabriel Andres Thoumi
International Society on Optics Within Life Sciences (OWLS),Münster,Germany,Constituency - Environmental,(49-251)835-6888,(49-251)835-8536,owls@gabor.uni-muenster.de,Mr. Gert von Bally
International Solar Energy Society e.V. (ISES),Freiburg,Germany,Constituency - Environmental,(49-761) 45-9060,(49-761) 459-0699,hq@ises.org,Ms. Jennifer McIntosh
