,name,entity_type,TotalMembers,MaleMembers,FemaleMembers,constituency,coordinator,city,country,const
372,Forum for Reforms and Entrepreneurship,Non-governmental organizations,5,3,2,Constituency - Research and independent,Ms. Anna Halla,Stockholm,Sweden,RINGO
373,FORUMCC Limited,Non-governmental organizations,4,0,4,Constituency - Environmental,Ms. Rebecca John Muna,Dar es Salaam,United Republic of Tanzania,ENGO
374,Foundation 2¬∞,Non-governmental organizations,6,3,3,,,Princeton,United States of America,not yet affiliated/no data
375,Foundation Environment - Law Society,Non-governmental organizations,2,2,0,Constituency - Research and independent,Mr. Michael Mehling,Greifswald,Germany,RINGO
376,Foundation for Environmental Education,Non-governmental organizations,7,3,4,Constituency - Environmental,Ms. Kristina Madsen,Copenhagen,Denmark,ENGO
377,Foundation for GAIA,Non-governmental organizations,5,4,1,Constituency - Environmental,Ms. Vita de Waal,London,United Kingdom of Great Britain and Northern Ireland,ENGO
378,Foundation for Promoting Personal Mobility and Ecological Transportation,Non-governmental organizations,3,3,0,Constituency - Environmental,Mr. Masaru Kumai,Tokyo,Japan,ENGO
379,Foundation for Sustainability,Non-governmental organizations,4,1,3,Constituency - Environmental,Mr. Klaus Milke,Bonn,Germany,ENGO
380,Foundation for the Rights of Future Generations,Non-governmental organizations,10,5,5,Constituency - Research and independent,Ms. Anna Braam,Stuttgart,Germany,RINGO
381,Foundation Myclimate The Climate Protection Partnership,Non-governmental organizations,2,2,0,,Mr. Stephen Neff,Zurich,Switzerland,not yet affiliated/no data
382,Franciscans International,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Antonius Budi Tjahjono,Geneva,Switzerland,ENGO
383,Frankfurt School of Finance and Management gGmbH,Non-governmental organizations,11,7,4,Constituency - Research and independent,Mr. Karsten Loeffler,Frankfurt am Main,Germany,RINGO
384,Freie Universität Berlin,Non-governmental organizations,2,1,1,Constituency - Research and independent,Mr. Stephan Pfahl,Berlin,Germany,RINGO
385,Fresh Energy,Non-governmental organizations,1,0,1,Constituency - Environmental,Ms. Janet Drake Hamilton,Saint Paul,United States of America,ENGO
386,Friedrich Schiller University Jena,Non-governmental organizations,4,2,2,Constituency - Research and independent,Mr. Martin Herold,Jena,Germany,RINGO
387,Friedrich-Ebert-Stiftung e.V.,Non-governmental organizations,3,1,2,Constituency - Research and independent,Ms. Yvonne Blos,Berlin,Germany,RINGO
388,Friends of the Earth International,Non-governmental organizations,52,20,32,Constituency - Environmental CJN,Ms. Sara Shaw,Amsterdam,Netherlands,ENGO
389,Friends World Committee for Consultation,Non-governmental organizations,5,2,3,Constituency - Research and independent,Ms. Lindsey Fielder Cook,London,United Kingdom of Great Britain and Northern Ireland,RINGO
390,Fundação Getúlio Vargas,Non-governmental organizations,6,0,6,Constituency - Research and independent,Mr. Mario Prestes Monzoni,Sao Paulo,Brazil,RINGO
391,Fundación Ambiente y Recursos Naturales,Non-governmental organizations,6,2,4,Constituency - Environmental,Mr. Enrique Gabriel Maurtua Konstantinidis,Buenos Aires,Argentina,ENGO
392,Fundación Amigos de la Naturaleza,Non-governmental organizations,3,0,3,Constituency - Research and independent,Ms. Natalia Valentina Calderón Angeleri,Santa Cruz,Bolivia (Plurinational State of),RINGO
393,Fundación Avina,Non-governmental organizations,7,3,4,Constituency - Environmental,Ms. Paula Ellinger da Fonseca,"Panama City,",Panama,ENGO
394,Fundación Cayetano Heredia,Non-governmental organizations,1,0,1,Constituency - Research and independent,Mr. Jahir Anicama Diaz,Lima,Peru,RINGO
395,Fundación de Iniciativas de Cambio Climático,Non-governmental organizations,1,0,1,Constituency - Environmental CAN,Sra. Suyapa Concepción Zelaya Amaya,Tegucigalpa,Honduras,ENGO
396,Fundación Defensores de la Naturaleza,Non-governmental organizations,3,2,1,Constituency - Environmental,Sr. Oscar Manuel Nuñez Saravia,Guatemala,Guatemala,ENGO
397,"Fundación Desarrollo Sustentable, A.C.",Non-governmental organizations,1,1,0,Constituency - Research and independent,Mr. Jose Maria Valenzuela Robles Linares,México. D.F.,Mexico,RINGO
398,Fundación Despacio,Non-governmental organizations,4,2,2,Constituency - Research and independent,Ms. Aura Patricia Calderon Peña,Bogota,Colombia,RINGO
399,Fundación Ecología y Desarrollo,Non-governmental organizations,6,3,3,Constituency - Environmental,Sra. Christina Monge Lasierra,Zaragoza,Spain,ENGO
400,Fundación Ecuatoriana de Estudios Ecológicos - EcoCiencia,Non-governmental organizations,1,0,1,Constituency - Environmental,Sra. Ana Puyol,Quito,Ecuador,ENGO
401,Fundación Fondo Centroamericano de Mujeres,Non-governmental organizations,3,0,3,Constituency - Women and Gender,Ms. Claudia Samcam,Managua,Nicaragua,Women and Gender
402,Fundación Futuro Latinoamericano,Non-governmental organizations,4,2,2,Constituency - Environmental,Ms. Lucia Gabriela Villamarin Jurado,Quito,Ecuador,ENGO
403,Fundacion MarViva,Non-governmental organizations,1,1,0,Constituency - Environmental,Ms. Alejandra Pacheco,Panama City,Panama,ENGO
404,Fundación Nueva Cultura del Agua,Non-governmental organizations,1,1,0,Constituency - Research and independent,Ms. Laura Sanchez Gallardo,Zaragoza,Spain,RINGO
405,Fundación para el Ecodesarrollo y la Conservación,Non-governmental organizations,3,0,3,Constituency - Environmental,Ms. Rita Mishaan,Guatemala,Guatemala,ENGO
406,Fundación para la Promoción del Conocimiento Indígena,Non-governmental organizations,10,5,5,Constituency - Indigenous peoples,Mr. Onel Masardule,Panamá,Panama,IPO
407,Fundación PLENITUD,Non-governmental organizations,6,1,5,Constituency - Research and independent,Ms. Laura Rathe,Santa Domingo,Dominican Republic,RINGO
408,Fundación Privada Empresa y Clima,Non-governmental organizations,15,7,8,Constituency - Business and Industry,Sra. Elvira Carles Brescoli,Barcelona,Spain,BINGO
409,"Fundación Red Colombiana Para la Defensa de los Derechos Humanos, el Medio Ambiente y la Paz",Non-governmental organizations,18,3,15,Constituency - Youth,Mr. Jean Carlos Jimenez Fuentes,Santa Marta,Colombia,Youth
410,Fundación TierraVida,Non-governmental organizations,11,3,8,Constituency - Environmental,Ms. Marina Mansilla Hermann,Córdoba,Argentina,ENGO
411,Future Earth International,Non-governmental organizations,7,5,2,Constituency - Research and independent,Mr. Clément Brousse,Montreal,Canada,RINGO
412,Gana Unnayan Kendra,Non-governmental organizations,4,2,2,Constituency - Women and Gender,Mr. M Abdus Salam,Gaibandha,Bangladesh,Women and Gender
413,GenderCC - Women for Climate Justice e.V.,Non-governmental organizations,42,5,37,Constituency - Women and Gender,Ms. Gotelind Alber,Berlin,Germany,Women and Gender
414,Georgetown University,Non-governmental organizations,11,4,7,Constituency - Research and independent,Ms. Joanna Lewis,Washington,United States of America,RINGO
415,German Climate Association,Non-governmental organizations,4,1,3,Constituency - Research and independent,Ms. Marie-Luise Beck,Berlin,Germany,RINGO
416,German Climate Foundation,Non-governmental organizations,2,0,2,Constituency - Environmental,Ms. Annika Mannah,Bremerhaven,Germany,ENGO
417,German Development Institute,Non-governmental organizations,3,1,2,Constituency - Research and independent,Mr. Steffen Bauer,Bonn,Germany,RINGO
418,German Emissions Trading Association,Non-governmental organizations,1,1,0,Constituency - Business and Industry,Mr. Robert Tippmann,Berlin,Germany,BINGO
419,German Farmers’ Organization e.V.,Non-governmental organizations,3,3,0,Constituency - Farmers,Mr. Robert Kero,Berlin,Germany,Farmers
420,Germanwatch,Non-governmental organizations,9,5,4,Constituency - Environmental CAN,Ms. Katharina Anita Hierl,Bonn,Germany,ENGO
421,Gherush92 Committee for Human Rights,Non-governmental organizations,1,1,0,Constituency - Research and independent,Ms. Valentina Jappelli,Rome,Italy,RINGO
422,Global Alert for Defence of Youth and the Less Privileged,Non-governmental organizations,2,1,1,Constituency - Youth,Mr. Kennedy Christian Ezedinbu,Festac Town,Nigeria,Youth
423,"Global Alliance for Incinerator Alternatives Philippines, Inc.",Non-governmental organizations,2,1,1,Constituency - Environmental CAN,Ms. Maria Elena Vilella Casaus,Quezon City,Philippines,ENGO
424,Global Canopy Programme,Non-governmental organizations,1,1,0,,Mr. Niki Mardas,Oxford,United Kingdom of Great Britain and Northern Ireland,not yet affiliated/no data
425,Global Carbon Capture and Storage Institute Ltd,Non-governmental organizations,7,3,4,Constituency - Business and Industry,Ms. Eve Tamme,Canberra,Australia,BINGO
426,Global Ecovillage Network,Non-governmental organizations,5,1,4,Constituency - Environmental,Ms. Anja Kosha Joubert,Forres,United Kingdom of Great Britain and Northern Ireland,ENGO
427,Global Energy Internet Development Cooperation Organization,Non-governmental organizations,6,5,1,Constituency - Environmental,Ms. Jiangke Yao,Beijing,China,ENGO
428,Global Environment Centre,Non-governmental organizations,3,3,0,Constituency - Environmental CAN,Mr. Faizal Parish,Selangor,Malaysia,ENGO
429,Global Environment Centre Foundation,Non-governmental organizations,4,2,2,Constituency - Research and independent,Mr. Osamu Bannai,Osaka,Japan,RINGO
430,Global Environmental Institute,Non-governmental organizations,7,3,4,Constituency - Environmental,Ms. Lin Ji,Beijing,China,ENGO
431,Global Feedback Ltd,Non-governmental organizations,1,0,1,Constituency - Environmental,Ms. Megan Joann Romania,Hackney,United Kingdom of Great Britain and Northern Ireland,ENGO
432,Global Footprint Network,Non-governmental organizations,1,1,0,Constituency - Environmental,Mr. Mathis Wackernagel,Oakland,United States of America,ENGO
433,Global Forest Coalition,Non-governmental organizations,8,3,5,Constituency - Environmental,Ms. Aukje Simone Lovera-Bilderbeek,Amsterdam,Netherlands,ENGO
434,Global Greens (Verts Mondiaux),Non-governmental organizations,4,3,1,Constituency - Environmental,Ms. Margaret Blakers,Brussels,Belgium,ENGO
435,Global Industrial and Social Progress Research Institute,Non-governmental organizations,3,3,0,Constituency - Research and independent,Mr. Daisuke Miki,Tokyo,Japan,RINGO
436,"Global Justice Ecology Project, Inc.",Non-governmental organizations,1,0,1,Constituency - Environmental,Ms. Anne Petermann,Hinnesburg,United States of America,ENGO
437,"Global Kids, Inc.",Non-governmental organizations,5,1,4,Constituency - Youth,Ms. Evie Hantzopoulos,New York City,United States of America,Youth
438,Global Legislators Organisation for a Balanced Environment,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Rafael Jiménez-Aybar,Brussels,Belgium,ENGO
439,Global Marshall Plan Foundation,Non-governmental organizations,13,8,5,Constituency - Research and independent,Mr. Frithjof Michael Finkbeiner,Hamburg,Germany,RINGO
440,Global Peace Initiative of Women,Non-governmental organizations,5,3,2,Constituency - Environmental,Ms. Marianne Marstrand,New York,United States of America,ENGO
441,Global Sustainable Electricity Partnership,Non-governmental organizations,6,6,0,Constituency - Business and Industry,Ms. Isabelle Mégré,Montreal,Canada,BINGO
442,Global Voices,Non-governmental organizations,7,1,6,Constituency - Youth,Ms. Alexandra Valerio,Victoria,Australia,Youth
443,Global Wind Energy Council,Non-governmental organizations,4,3,1,Constituency - Business and Industry,Ms. Alyssa Anne Pek,Brussels,Belgium,BINGO
444,"Global Youth Development Institute, Inc.",Non-governmental organizations,1,1,0,Constituency - Research and independent,Mr. Timothy Damon,Alliance,United States of America,RINGO
445,Governors’ Climate and Forests Fund,Non-governmental organizations,3,1,2,Constituency - Environmental,Mr. Luke Pritchard,Denver,United States of America,ENGO
446,Grassroots Global Justice Alliance,Non-governmental organizations,7,2,5,Constituency - Environmental,Ms. Cynthia Oka,North Miami,United States of America,ENGO
447,Green Asia Network,Non-governmental organizations,4,3,1,Constituency - Environmental,Mr. Jaekwang Ko,Seoul,Republic of Korea,ENGO
448,Green Club,Non-governmental organizations,14,6,8,Constituency - Environmental,Mr. Joseph Lin,Vancouver,Canada,ENGO
449,Green Course,Non-governmental organizations,2,1,1,Constituency - Environmental,Ms. Ifat Zur,Tel Aviv,Israel,ENGO
450,Green Economics Institute,Non-governmental organizations,13,6,7,Constituency - Research and independent,Ms. Miriam Kennet,Reading,United Kingdom of Great Britain and Northern Ireland,RINGO
451,Green European Foundation,Non-governmental organizations,4,1,3,Constituency - Research and independent,Mr. Ognjen Sobat,Luxembourg,Luxembourg,RINGO
452,Green Institute Limited,Non-governmental organizations,3,2,1,Constituency - Environmental,Ms. Margaret Blakers,Hobart,Australia,ENGO
453,Green Korea United,Non-governmental organizations,4,2,2,Constituency - Environmental,Mr. Seungmoon Kwon,Seoul,Republic of Korea,ENGO
454,Green Planet,Non-governmental organizations,5,5,0,Constituency - Environmental,Mr. Ahmed D. Pathan,KALOL-NG,India,ENGO
455,Green Zhejiang,Non-governmental organizations,1,0,1,Constituency - Environmental,Mr. Hao Xin,Hangzhou,China,ENGO
456,Greener Impact International,Non-governmental organizations,4,3,1,Constituency - Environmental,Mr. Gawusu-Toure Kassim,Accra,Ghana,ENGO
457,GreenFacts ASBL,Non-governmental organizations,2,0,2,Constituency - Environmental,Mr. Jacques Albert de Gerlache,Brussels,Belgium,ENGO
458,Greenhouse Gas Management Institute,Non-governmental organizations,5,2,3,Constituency - Research and independent,Ms. Molly White,Silver Spring,United States of America,RINGO
459,Greenpeace International,Non-governmental organizations,79,36,43,Constituency - Environmental CAN,Ms. Naomi Ursula Goodman,Amsterdam,Netherlands,ENGO
460,Greenriver Environmental Protection Promotion Association of Sichuan,Non-governmental organizations,10,5,5,Constituency - Environmental CAN,Ms. Tian Xie,Chengdu,China,ENGO
461,Griffith University,Non-governmental organizations,6,4,2,Constituency - Research and independent,Ms. Helen Bulle,Brisbane,Australia,RINGO
462,Griha Council,Non-governmental organizations,10,2,8,Constituency - Research and independent,Mr. Ajay Mathur,New Delhi,India,RINGO
463,Groupe d’Études et de Recherches sur les Énergies Renouvelables et l’Environnement,Non-governmental organizations,4,4,0,Constituency - Environmental,Mr. Ahmed-Faouzi Senhaji,Rabat,Morocco,ENGO
464,Guangzhou County Yuexiu District Climate and Environmental Protection Center,Non-governmental organizations,4,1,3,Constituency - Youth,Mr. Jasper Zhang,Guangzhou,China,Youth
465,Habitat International Coalition,Non-governmental organizations,4,2,2,Constituency - ENGO,Sr. Alvaro Puertas Robina,Barcelona,Spain,ENGO
466,Harvard University,Non-governmental organizations,7,5,2,Constituency - Research and independent,Mr. Robert Stowe,Cambridge,United States of America,RINGO
467,Hashoo Foundation,Non-governmental organizations,1,1,0,Constituency - Environmental,Mr. Muhammad Matloob Khan,Islamabad,Pakistan,ENGO
468,HATOF Foundation,Non-governmental organizations,5,2,3,Constituency - Environmental CAN,Mr. Samuel Confidence Dotse,Tema,Ghana,ENGO
469,HCS Ltd.,Non-governmental organizations,3,1,2,Constituency - Environmental,Ms. Judy Rodrigues,Singapore,Singapore,ENGO
470,Health and Environment Alliance,Non-governmental organizations,3,2,1,Constituency - Environmental,Ms. Lucy Mathieson,Brussels,Belgium,ENGO
471,Health Care Without Harm,Non-governmental organizations,1,0,1,Constituency - Environmental CAN,Ms. Jennifer Wang,Reston,United States of America,ENGO
472,Health of Mother Earth Foundation,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Nnimmo Bassey,Benin City,Nigeria,ENGO
473,HEDA Resource Centre,Non-governmental organizations,5,3,2,Constituency - Environmental,Mr. Sulaimon Olawale Arigbabu,Ikeya,Nigeria,ENGO
474,Heinrich Böll Foundation,Non-governmental organizations,17,6,11,Constituency - Environmental,Ms. Kristin Funke,Berlin,Germany,ENGO
475,Helmholtz-Centre Geesthacht Centre for Materials and Coastal Research GmbH,Non-governmental organizations,6,1,5,Constituency - Research and independent,Ms. Daniela Jacob,Geesthacht,Germany,RINGO
476,Helvetas Swiss Intercooperation,Non-governmental organizations,2,1,1,Constituency - Environmental,Ms. Rupa Mukerji,Zuerich,Switzerland,ENGO
477,Hong Kong People’s Council for Sustainable Development Limited,Non-governmental organizations,4,2,2,Constituency - ENGO,Mr. Kwong Tak Albert Lai,Hong Kong,China,ENGO
478,Huairou Commission Women Homes and Community,Non-governmental organizations,1,0,1,Constituency - Women and Gender,Ms. Suranjana Gupta,Brooklyn,United States of America,Women and Gender
479,"Human Impacts Institute, Inc.",Non-governmental organizations,4,0,4,Constituency - Environmental,Ms. Tara DePorte,Brooklyn,United States of America,ENGO
480,Human Rights and Environment Improvement Center,Non-governmental organizations,2,1,1,Constituency - Local government and Municipal authorities,Mr. Ram Prasad Pangali,Lalitpur /Kathmandu,Nepal,LGMA
481,Human Rights Foundation of Aotearoa New Zealand,Non-governmental organizations,4,2,2,Constituency - Research and independent,Mr. David Tong,Auckland,New Zealand,RINGO
482,"Human Rights Watch, Inc.",Non-governmental organizations,1,1,0,Constituency - ENGO,Ms. Katharina Rall,New York,United States of America,ENGO
483,Humane Society International,Non-governmental organizations,1,0,1,Constituency - Environmental CAN,Ms. Nicola Jane Beynon,Sydney,Australia,ENGO
484,Humboldt-Viadrina Governance Platform gGmbH,Non-governmental organizations,5,3,2,Constituency - ENGO,Mr. Gerd Leipold,Berlin,Germany,ENGO
485,I4CE - Institute for Climate Economics,Non-governmental organizations,4,3,1,Constituency - Research and independent,Mme Malika Boumaza,Paris,France,RINGO
486,ICLEI-Local Governments for Sustainability,Non-governmental organizations,69,32,37,Constituency - Local government and Municipal authorities,Mr. Yunus Arikan,Bonn,Germany,LGMA
487,Imperial College London,Non-governmental organizations,14,6,8,Constituency - Research and independent,Ms. Alyssa Gilbert,London,United Kingdom of Great Britain and Northern Ireland,RINGO
488,"Independent University, Bangladesh",Non-governmental organizations,10,4,6,Constituency - Research and independent,Mr. Feisal Rahman,Dhaka,Bangladesh,RINGO
489,India Water Foundation,Non-governmental organizations,1,1,0,Constituency - Environmental,Mr. Arvind Kumar,New Delhi,India,ENGO
490,Indiana University,Non-governmental organizations,8,2,6,Constituency - Research and independent,Ms. Jessica O'Reilly,Bloomington,United States of America,RINGO
491,Indigenous Environmental Network,Non-governmental organizations,3,2,1,Constituency - Indigenous peoples,Mr. Tom BK Goldtooth,Bemidji,United States of America,IPO
492,Indigenous Information Network,Non-governmental organizations,5,0,5,Constituency - Indigenous peoples,Ms. Lucy Mulenkei,Nairobi,Kenya,IPO
493,Indigo Development and Change,Non-governmental organizations,2,1,1,Constituency - Research and independent,Ms. Bettina Koelle,Nieuwoudtville,South Africa,RINGO
494,Industrial Technology Research Institute,Non-governmental organizations,14,11,3,Constituency - Research and independent,Mr. Chen-An Lien,Hsinchu,China,RINGO
495,IndustriALL Global Union,Non-governmental organizations,3,3,0,Constituency - Trade Unions,Mr. Brian Kohler,Geneva,Switzerland,TUNGO
496,Ingénieurs sans Frontières,Non-governmental organizations,1,0,1,Constituency - ENGO,Mme Margaux Stéphanie Dumonteil,Paris,France,ENGO
497,Initiatives of Change International,Non-governmental organizations,3,1,2,Constituency - Research and independent,Ms. Jennifer Freya Helgeson,Caux,Switzerland,RINGO
498,Innovation Center for Energy and Transportation,Non-governmental organizations,5,1,4,Constituency - Environmental,Ms. Lucia Green-Weiskel,Pasadena,China,ENGO
499,Innovations Bleues,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Julian Stone,Saint-Herblain,France,ENGO
500,Institut du Développement Durable et des Relations Internationales,Non-governmental organizations,7,4,3,Constituency - Research and independent,Mme Lola Vallejo,Paris,France,RINGO
501,Institut Européen de l’Economie de la Fonctionnalité et de la Coopération,Non-governmental organizations,1,1,0,Constituency - Business and Industry,Mr. Philippe Guinaud,Paris,France,BINGO
502,Institut National de la Recherche Agronomique,Non-governmental organizations,3,1,2,Constituency - Research and independent,Ms. Claire Weill,Paris,France,RINGO
503,Institut Polytechnique de Grenoble,Non-governmental organizations,9,4,5,Constituency - Local government and Municipal authorities,Mme Anne-Catherine Favre,Grenoble,France,LGMA
504,Institut Veolia,Non-governmental organizations,2,1,1,Constituency - Environmental,Mme Lorraine de Jerphanion,Aubervilliers,France,ENGO
505,Institute de Recherche pour le Developpement,Non-governmental organizations,4,3,1,,Ms. Valerie Verdier,Marseille,France,not yet affiliated/no data
506,Institute for Advanced Sustainability Studies,Non-governmental organizations,6,3,3,Constituency - Research and independent,Ms. Kathleen Anne Mar,Potsdam,Germany,RINGO
507,Institute for Agricultural and Forest Management and Certification,Non-governmental organizations,4,1,3,Constituency - Environmental,Ms. Marina Piatto,Piracicaba,Brazil,ENGO
508,Institute for Agriculture and Trade Policy,Non-governmental organizations,2,0,2,Constituency - Environmental,Ms. Shefali Sharma,Minneapolis,United States of America,ENGO
509,Institute for Biodiversity Network e.V.,Non-governmental organizations,3,3,0,Constituency - Environmental,Mr. Axel Paulsch,Regensburg,Germany,ENGO
510,Institute for Climate and Sustainable Cities (iCSC).,Non-governmental organizations,3,3,0,Constituency - Research and independent,Mr. Angelo Kairos Dela Cruz,Quezon City,Philippines,RINGO
511,"Institute for Climate Protection, Energy and Mobility - Law, Economics and Policy e.V.",Non-governmental organizations,5,4,1,Constituency - Research and independent,Ms. Kathryn Margaret McKenzie,Berlin,Germany,RINGO
512,Institute for Conservation and Sustainable Development of Amazonas,Non-governmental organizations,7,3,4,Constituency - Environmental,Ms. Fernanda Peixoto Barbosa,Manaus,Brazil,ENGO
513,"Institute for Energy and Climate Strategies, Inc.",Non-governmental organizations,1,1,0,Constituency - Environmental,Mr. Dennis Clare,Brooklyn,United States of America,ENGO
514,Institute for Environment and Development Sustainability,Non-governmental organizations,2,1,1,Constituency - Environmental,Ms. Abela Gloria Mutabiilwa,Dar Es Salaam,United Republic of Tanzania,ENGO
515,Institute for Environmental Security,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Ronald Kingham,The Hague,Netherlands,ENGO
516,Institute for Global Environmental Strategies,Non-governmental organizations,6,4,2,Constituency - Research and independent,Mr. Kentaro Tamura,Kanagawa,Japan,RINGO
517,Institute for Governance and Sustainable Development,Non-governmental organizations,4,2,2,Constituency - Environmental,Ms. Trina Chiemi Thorbjornsen,Washington,United States of America,ENGO
518,Institute for Public Policy Research,Non-governmental organizations,1,1,0,Constituency - Environmental,Mr. Luke Murphy,London,United Kingdom of Great Britain and Northern Ireland,ENGO
519,Institute for Social and Environmental Transition,Non-governmental organizations,1,0,1,Constituency - Research and independent,Mr. Kenneth MacClune,Boulder,United States of America,RINGO
520,Institute for Transportation and Development Policy,Non-governmental organizations,6,4,2,Constituency - Research and independent,Mr. Ramon Javier Cruz-Diaz,New York,United States of America,RINGO
521,Institute of Development Studies,Non-governmental organizations,1,0,1,Constituency - Research and independent,Ms. Rosalind Price,Brighton,United Kingdom of Great Britain and Northern Ireland,RINGO
522,"Institute of Energy Economics, Japan",Non-governmental organizations,2,2,0,Constituency - ENGO,Mr. Takahiko Tagami,Tokyo,Japan,ENGO
523,"Institute of Environment and Sustainable Development in Agriculture, Chinese Academy of Agricultural Science",Non-governmental organizations,6,3,3,Constituency - Environmental,Ms. Yingchun Li,Beijing,China,ENGO
524,Institutional Investors Group on Climate Change Ltd.,Non-governmental organizations,3,0,3,Constituency - Business and Industry,Ms. Evagelia Emelia Holdaway,London,United Kingdom of Great Britain and Northern Ireland,BINGO
525,Instituto de Ecología y Antropología de Acción,Non-governmental organizations,3,2,1,Constituency - Environmental,Ms. Elke Falley-Rothkopf,Cologne,Germany,ENGO
526,Instituto Ethos de Empresas e Responsabilidade Social,Non-governmental organizations,3,2,1,Constituency - ENGO,Ms. Flavia Anguiano Resende,Sao Paulo,Brazil,ENGO
527,Instituto Global Attitude,Non-governmental organizations,8,4,4,Constituency - Youth,Mr. Rodrigo Reis,São Paulo,Brazil,Youth
528,Instituto Internacional de Derecho y Medio Ambiente/International Institute for Law and the Environment,Non-governmental organizations,9,4,5,Constituency - Environmental,Mr. Gopal Shilpakar,Madrid,Spain,ENGO
529,Instituto Torcuato Di Tella,Non-governmental organizations,1,1,0,Constituency - Research and independent,Sr. Daniel Perczyk,Buenos Aires,Argentina,RINGO
530,"Intelligentsia International, Inc.",Non-governmental organizations,3,3,0,Constituency - Youth,Mr. Michal Fidler,LaBelle,United States of America,Youth
531,Interchurch Organization for Development Cooperation,Non-governmental organizations,5,4,1,Constituency - Environmental,Ms. Regnera Catharina van der Geest,Utrecht,Netherlands,ENGO
532,InterEnvironment Institute,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Thaddeus Trzyna,Sacramento,United States of America,ENGO
533,International Accreditation Forum Inc.,Non-governmental organizations,1,1,0,Constituency - Business and Industry,Ms. Ann Howard,Chelsea,Canada,BINGO
534,International Actuarial Association,Non-governmental organizations,1,1,0,Constituency - Research and independent,Mr. Sam Gutterman,Ottawa,Canada,RINGO
535,International Air Transport Association,Non-governmental organizations,7,5,2,Constituency - Business and Industry,Mr. Michel Adam,Montreal,Canada,BINGO
536,International Alliance of Indigenous and Tribal Peoples of the Tropical Forests,Non-governmental organizations,10,5,5,Constituency - Indigenous peoples,Mr. Estebancio Castro Diaz,Panama,Panama,IPO
537,International Association for the Advancement of Innovative Approaches to Global Challenges,Non-governmental organizations,19,9,10,Constituency - Youth,Mr. Miroslav Polzer,Klagenfurt,Austria,Youth
538,International Association of Oil and Gas Producers,Non-governmental organizations,1,0,1,Constituency - Business and Industry,Mr. Daniel Walsh,London,United Kingdom of Great Britain and Northern Ireland,BINGO
539,International Association of Public Transport,Non-governmental organizations,2,2,0,Constituency - Local government and Municipal authorities,Mr. Philip Turner,Brussels,Belgium,LGMA
540,International Chamber of Commerce,Non-governmental organizations,148,95,53,Constituency - Business and Industry,Ms. Majda Dabaghi,Paris,France,BINGO
541,International Climate Dialogue e.V.,Non-governmental organizations,2,1,1,Constituency - Research and independent,Mr. Björn Dransfeld,Hamburg,Germany,RINGO
542,International Coastal and Ocean Organization,Non-governmental organizations,4,2,2,Constituency - Environmental,Ms. Vanessa Knecht,Washington DC,United States of America,ENGO
543,"International Copper Association, Ltd.",Non-governmental organizations,1,1,0,Constituency - ENGO,Mr. Steven Kukoda,New York,United States of America,ENGO
544,International Council for Sustainable Energy,Non-governmental organizations,10,7,3,Constituency - Business and Industry,Ms. Laura Tierney,Washington DC,United States of America,BINGO
545,International Council of Chemical Associations,Non-governmental organizations,5,2,3,Constituency - Business and Industry2,Ms. Touria Lakchiri,Brussels,Belgium,BINGO
546,International Council on Clean Transportation Inc.,Non-governmental organizations,1,1,0,Constituency - Environmental,Ms. Amber Broha,Washington DC,United States of America,ENGO
547,International Cryosphere Climate Initiative,Non-governmental organizations,6,2,4,Constituency - Research and independent,Ms. Pamela Jean Pearson,Charlotte,United States of America,RINGO
548,International Dairy Federation,Non-governmental organizations,3,2,1,Constituency - Business and Industry,Ms. Caroline Emond,Brussels,Belgium,BINGO
549,International Development Research Centre,Non-governmental organizations,2,2,0,Constituency - Research and independent,Ms. Marie-Eve Landry,"Ottawa, ON",Canada,RINGO
550,International Emissions Trading Association,Non-governmental organizations,128,88,40,Constituency - Business and Industry,Ms. Stephanie Olegario,Geneva,Switzerland,BINGO
551,International Environment and Economy Institute,Non-governmental organizations,1,0,1,Constituency - Business and Industry2,Ms. Sumiko Takeuchi,Tokyo,Japan,BINGO
552,International Environmental Communication Association,Non-governmental organizations,6,3,3,Constituency - Research and independent,Mr. Mark S. Meisner,Cincinnati,United States of America,RINGO
553,International Federation of Industrial Energy Consumers,Non-governmental organizations,1,0,1,Constituency - Business and Industry,Mr. Paul Cicio,Basel,Switzerland,BINGO
554,International Federation of Liberal Youth,Non-governmental organizations,5,4,1,Constituency - Youth,Mr. Sven Gerst,London,United Kingdom of Great Britain and Northern Ireland,Youth
555,International Federation of Medical Students’ Associations,Non-governmental organizations,10,3,7,Constituency - Youth,Mr. Skander Essafi,Amsterdam,Netherlands,Youth
556,International Federation of Organic Agriculture Movements,Non-governmental organizations,5,3,2,Constituency - Farmers,Mr. Gabor Figeczky,Bonn,Germany,Farmers
557,International Fertilizer Association,Non-governmental organizations,6,4,2,Constituency - Business and Industry,Ms. Margot Rose Clifford,Paris,France,BINGO
558,International Forestry Students’ Association,Non-governmental organizations,10,2,8,Constituency - Youth,Ms. Aditi Mishra,Freiburg,Germany,Youth
